itemId,productId,eventId,productName,originalPrice,salePrice,initialStock,soldQty,version
FI-00056,P-03463,EV-010,Anker Chuot Gaming XL,1193000,503686,182,0,0
FI-00057,P-00431,EV-008,Anker Kinh Mat XL,144000,48562,110,0,0
FI-00058,P-01419,EV-006,Asus Tai Nghe V2,186000,74312,108,0,0
FI-00059,P-04360,EV-007,Anker Loa V2,1283000,432524,144,0,0
FI-00060,P-04833,EV-002,Apple May Anh Lite,574000,366090,186,0,0
FI-00061,P-01109,EV-005,Sony Balo Lite,1000000,602667,28,0,0
FI-00062,P-01751,EV-009,JBL Tai Nghe Classic,2822000,1223309,181,0,0
FI-00063,P-01656,EV-001,Logitech Webcam Lite,435000,180264,73,0,0
FI-00064,P-04919,EV-010,Sony Giay Lite,2127000,1454611,50,0,0
FI-00065,P-02447,EV-007,Sony Laptop Sport,2653000,1318285,120,0,0
FI-00066,P-04663,EV-009,Logitech Cap Sac Ultra,628000,422592,117,0,0
FI-00067,P-03839,EV-001,Xiaomi Kinh Mat Lite,2575000,1337362,128,0,0
FI-00068,P-04136,EV-010,HP Kinh Mat Sport,1891000,958693,111,0,0
FI-00069,P-00224,EV-007,JBL Giay XL,178000,91546,165,0,0
FI-00070,P-03371,EV-006,Anker USB Hub Sport,1235000,577157,193,0,0
FI-00071,P-01256,EV-007,HP Ban Phim Plus,2018000,792954,177,0,0
FI-00072,P-03033,EV-007,Xiaomi Op Lung Sport,2800000,1606527,10,0,0
FI-00073,P-04541,EV-009,Razer Ao Thun Plus,2645000,1812814,125,0,0
FI-00074,P-04816,EV-006,Logitech Monitor Sport,1239000,724416,46,0,0
FI-00075,P-03689,EV-007,Samsung Chuot Gaming Premium,825000,296214,95,0,0
FI-00076,P-03980,EV-005,Xiaomi Chuot Gaming Pro Max,656000,361501,21,0,0
FI-00077,P-00021,EV-004,Asus Chuot Gaming V2,1491000,918811,25,0,0
FI-00078,P-03138,EV-008,Razer Ong Nhom Pro Max,425000,236512,34,0,0
FI-00079,P-01771,EV-001,Razer Chuot Gaming Pro Max,1266000,690063,76,0,0
FI-00080,P-02088,EV-005,JBL May Anh Plus,688000,263802,10,0,0
FI-00081,P-01422,EV-003,JBL Tablet XL,2817000,1571275,46,0,0
FI-00082,P-02330,EV-004,Xiaomi Chuot Gaming Premium,1870000,601718,163,0,0
FI-00083,P-03450,EV-010,Xiaomi Giay Premium,922000,286775,181,0,0
FI-00084,P-02843,EV-007,Xiaomi Quat Mini Lite,2092000,1382820,139,0,0
FI-00085,P-04400,EV-005,Anker Ong Nhom Mini,2287000,1459893,23,0,0
FI-00086,P-00798,EV-001,Apple Chuot Gaming XL,2109000,1413477,57,0,0
FI-00087,P-01408,EV-010,Samsung Ao Thun XL,207000,74978,136,0,0
FI-00088,P-03113,EV-001,Asus Kinh Mat Lite,870000,404493,151,0,0
FI-00089,P-04289,EV-005,HP Tai Nghe XL,2462000,1671172,35,0,0
FI-00090,P-03668,EV-008,Asus Ban Phim V2,587000,285497,73,0,0
FI-00091,P-04153,EV-009,JBL Loa XL,1760000,987515,74,0,0
FI-00092,P-01365,EV-009,Razer Webcam Classic,1509000,1031967,161,0,0
FI-00093,P-01656,EV-002,Samsung Laptop XL,695000,351646,89,0,0
FI-00094,P-03116,EV-008,Anker Loa Classic,1035000,630002,7,0,0
FI-00095,P-03929,EV-006,HP Tablet XL,1982000,1204992,97,0,0
FI-00096,P-04236,EV-001,Apple USB Hub Classic,2743000,862295,15,0,0
FI-00097,P-04085,EV-005,Anker Dong Ho Plus,1353000,528188,104,0,0
FI-00098,P-01836,EV-001,Anker USB Hub Premium,1220000,784656,63,0,0
FI-00099,P-01479,EV-008,HP USB Hub XL,2534000,1331895,181,0,0
FI-00100,P-01352,EV-008,Anker Cap Sac Lite,589000,288363,194,0,0
FI-00101,P-02507,EV-002,Razer Laptop Ultra,589000,209729,123,0,0
FI-00102,P-03324,EV-009,Xiaomi Webcam Lite,2394000,739184,193,0,0
FI-00103,P-02843,EV-005,Sony Webcam XL,1914000,883824,163,0,0
FI-00104,P-03949,EV-008,Apple Ong Nhom Premium,1825000,593245,10,0,0
FI-00105,P-03168,EV-004,HP Kinh Mat Ultra,2462000,1097034,33,0,0
FI-00106,P-00404,EV-002,Anker Quat Mini Mini,1379000,610848,80,0,0
FI-00107,P-02630,EV-007,Anker Dong Ho Classic,2377000,747642,174,0,0
FI-00108,P-00949,EV-001,HP Kinh Mat Classic,673000,354376,160,0,0
FI-00109,P-01203,EV-008,Samsung Monitor Plus,2010000,743864,54,0,0
FI-00110,P-01280,EV-006,Asus Op Lung Classic,1341000,881834,55,0,0
FI-00111,P-03402,EV-002,Sony Cap Sac Pro Max,2844000,1959166,120,0,0
FI-00112,P-02451,EV-003,Logitech Giay XL,2371000,1599118,69,0,0
FI-00113,P-02419,EV-010,Apple Dong Ho XL,1085000,362928,69,0,0
FI-00114,P-03104,EV-006,Asus Dong Ho Pro Max,2807000,1155066,81,0,0
FI-00115,P-00804,EV-003,Razer Ban Phim V2,1052000,535315,80,0,0
FI-00116,P-01515,EV-002,Xiaomi Dong Ho Plus,221000,128330,121,0,0
FI-00117,P-04517,EV-001,Xiaomi Ao Thun XL,2431000,971934,174,0,0
FI-00118,P-00867,EV-008,Samsung Balo Sport,1939000,686075,137,0,0
FI-00119,P-00684,EV-004,Sony Ong Nhom Premium,1748000,766253,93,0,0
FI-00120,P-01248,EV-008,JBL Ao Thun V2,2778000,856870,181,0,0
FI-00121,P-00512,EV-006,Razer Op Lung Mini,1151000,379073,95,0,0
FI-00122,P-04532,EV-007,HP Laptop Mini,1797000,705338,48,0,0
FI-00123,P-04239,EV-001,Apple Laptop Pro Max,2363000,719370,179,0,0
FI-00124,P-04050,EV-002,Samsung Tablet Ultra,1730000,953775,165,0,0
FI-00125,P-04703,EV-004,Xiaomi Sac Du Phong Ultra,861000,571055,24,0,0
FI-00126,P-00774,EV-008,Apple Ao Thun Ultra,1109000,504612,53,0,0
FI-00127,P-01878,EV-004,Asus Monitor Pro Max,1643000,937442,78,0,0
FI-00128,P-02650,EV-010,Xiaomi Chuot Gaming Mini,2655000,1826010,32,0,0
FI-00129,P-04131,EV-002,JBL Quat Mini Premium,1665000,624484,125,0,0
FI-00130,P-01423,EV-004,Apple Webcam Classic,295000,157623,153,0,0
FI-00131,P-01641,EV-004,Samsung Kinh Mat Premium,2853000,1636306,111,0,0
FI-00132,P-03846,EV-005,Asus Webcam Plus,1752000,628507,171,0,0
FI-00133,P-01360,EV-005,Samsung USB Hub V2,1270000,617981,167,0,0
FI-00134,P-02995,EV-004,Razer Ban Phim V2,493000,172774,117,0,0
FI-00135,P-03790,EV-006,Samsung Balo Plus,1860000,959201,106,0,0
FI-00136,P-02284,EV-001,Logitech Dong Ho Lite,1122000,740384,181,0,0
FI-00137,P-01776,EV-009,Asus Dong Ho Sport,1740000,786452,38,0,0
FI-00138,P-02548,EV-006,Apple Sac Du Phong Lite,381000,231934,158,0,0
FI-00139,P-01050,EV-001,Sony Op Lung Classic,2719000,1348153,28,0,0
FI-00140,P-01036,EV-002,Samsung Ong Nhom Lite,2926000,1746278,142,0,0
FI-00141,P-00918,EV-006,Razer Kinh Mat Lite,547000,311362,173,0,0
FI-00142,P-02709,EV-009,Samsung Balo Mini,2175000,1301823,156,0,0
FI-00143,P-00333,EV-006,Samsung Webcam Sport,592000,334487,83,0,0
FI-00144,P-01259,EV-008,Sony Op Lung V2,1057000,550672,33,0,0
FI-00145,P-01258,EV-004,JBL Dong Ho Plus,1135000,382636,56,0,0
FI-00146,P-01510,EV-008,Asus Monitor Plus,140000,49226,183,0,0
FI-00147,P-03569,EV-010,Sony Balo Premium,664000,338754,195,0,0
FI-00148,P-04700,EV-001,Anker Balo Mini,747000,332502,73,0,0
FI-00149,P-04768,EV-008,Samsung Kinh Mat Plus,662000,230353,153,0,0
FI-00150,P-01898,EV-006,JBL Chuot Gaming Plus,696000,395065,14,0,0
FI-00151,P-00062,EV-007,JBL Chuot Gaming Premium,1720000,681508,184,0,0
FI-00152,P-04891,EV-010,JBL Ao Thun Plus,2315000,1462509,121,0,0
FI-00153,P-02609,EV-010,Apple Quat Mini Sport,2433000,950741,21,0,0
FI-00154,P-01448,EV-005,HP USB Hub Plus,1589000,657476,56,0,0
FI-00155,P-00445,EV-008,Asus Tablet Plus,521000,228736,148,0,0
FI-00156,P-04153,EV-002,Samsung Laptop Premium,432000,282739,198,0,0
FI-00157,P-02786,EV-005,Apple Balo Lite,1529000,821971,169,0,0
FI-00158,P-04803,EV-003,Apple USB Hub V2,2360000,1226009,169,0,0
FI-00159,P-00748,EV-005,Apple Chuot Gaming Classic,1823000,610155,38,0,0
FI-00160,P-01497,EV-001,JBL Kinh Mat Pro Max,996000,449446,174,0,0
FI-00161,P-04163,EV-007,JBL Cap Sac Ultra,1867000,1297169,118,0,0
FI-00162,P-00703,EV-003,Sony Sac Du Phong Lite,152000,62583,200,0,0
FI-00163,P-02028,EV-005,Sony Loa Mini,1081000,580318,81,0,0
FI-00164,P-03697,EV-006,Sony Loa Pro Max,2097000,671332,108,0,0
FI-00165,P-04131,EV-010,Xiaomi Loa Sport,1264000,788283,183,0,0
FI-00166,P-03327,EV-006,Samsung USB Hub Sport,586000,395272,96,0,0
FI-00167,P-00303,EV-005,Asus Chuot Gaming Pro Max,2951000,1038562,50,0,0
FI-00168,P-03884,EV-002,Logitech Chuot Gaming XL,2564000,904406,161,0,0
FI-00169,P-03089,EV-003,Apple Tablet Lite,2637000,973874,101,0,0
FI-00170,P-04349,EV-005,Asus Tai Nghe Ultra,2166000,1445006,193,0,0
FI-00171,P-04013,EV-010,Logitech Cap Sac XL,1808000,929285,45,0,0
FI-00172,P-01826,EV-006,Samsung Webcam Ultra,831000,545401,187,0,0
FI-00173,P-04350,EV-008,Razer Dong Ho Ultra,1411000,542617,163,0,0
FI-00174,P-00786,EV-005,Apple Balo Classic,2710000,1890307,105,0,0
FI-00175,P-01328,EV-003,Sony Laptop Classic,1032000,312679,112,0,0
FI-00176,P-01472,EV-001,Sony Chuot Gaming Pro Max,427000,292784,153,0,0
FI-00177,P-00770,EV-003,Anker Quat Mini Premium,1500000,891472,140,0,0
FI-00178,P-02727,EV-007,Samsung Op Lung V2,1305000,422531,136,0,0
FI-00179,P-04412,EV-007,Anker Ong Nhom Premium,1766000,861889,35,0,0
FI-00180,P-01874,EV-008,Logitech Tai Nghe Ultra,1841000,1264140,140,0,0
FI-00181,P-00628,EV-006,Samsung Quat Mini Classic,783000,484991,195,0,0
FI-00182,P-03176,EV-004,HP Giay Premium,1488000,511011,177,0,0
FI-00183,P-01706,EV-010,Razer Chuot Gaming Lite,2935000,1773566,129,0,0
FI-00184,P-02979,EV-009,Anker Sac Du Phong Lite,1110000,719245,146,0,0
FI-00185,P-01719,EV-007,Samsung Balo V2,2248000,1264882,119,0,0
FI-00186,P-00053,EV-009,Asus Balo Premium,392000,247605,143,0,0
FI-00187,P-03398,EV-004,Logitech Tai Nghe Ultra,3000000,940951,56,0,0
FI-00188,P-03870,EV-007,Samsung Laptop V2,2703000,1795338,39,0,0
FI-00189,P-02094,EV-006,HP Quat Mini Ultra,2159000,772558,128,0,0
FI-00190,P-01587,EV-006,Asus USB Hub Sport,2014000,1010485,23,0,0
FI-00191,P-01631,EV-002,Xiaomi Webcam Plus,648000,423486,196,0,0
FI-00192,P-03563,EV-001,Xiaomi USB Hub Classic,474000,204908,194,0,0
FI-00193,P-03835,EV-004,Anker Ao Thun V2,1734000,851790,175,0,0
FI-00194,P-04187,EV-003,Anker Dong Ho XL,1775000,1218883,200,0,0
FI-00195,P-02399,EV-004,Apple USB Hub XL,1973000,1268072,194,0,0
FI-00196,P-04985,EV-006,Samsung USB Hub XL,2779000,931584,6,0,0
FI-00197,P-00831,EV-008,Sony Monitor XL,2313000,760865,39,0,0
FI-00198,P-01587,EV-009,HP Monitor Pro Max,1475000,559061,175,0,0
FI-00199,P-01920,EV-004,JBL Monitor Pro Max,2320000,912058,112,0,0
FI-00200,P-01098,EV-007,Logitech Laptop Premium,2559000,1563286,49,0,0
FI-00201,P-00055,EV-006,Samsung Kinh Mat Ultra,849000,268711,144,0,0
FI-00202,P-00757,EV-003,HP Op Lung Lite,142000,87422,198,0,0
FI-00203,P-02726,EV-007,Anker Tai Nghe Lite,1344000,492576,54,0,0
FI-00204,P-00229,EV-003,HP Laptop Sport,1003000,462264,136,0,0
FI-00205,P-00133,EV-003,Asus Tablet Sport,115000,65030,150,0,0
FI-00206,P-02869,EV-002,Sony Ao Thun Pro Max,539000,354830,89,0,0
FI-00207,P-00025,EV-008,Xiaomi Cap Sac V2,928000,481429,112,0,0
FI-00208,P-01961,EV-005,JBL Tai Nghe Mini,1972000,833462,43,0,0
FI-00209,P-04471,EV-002,HP Dong Ho Classic,1854000,744383,30,0,0
FI-00210,P-04046,EV-002,JBL Sac Du Phong Plus,310000,153389,12,0,0
FI-00211,P-01643,EV-010,Logitech Sac Du Phong Ultra,2554000,998948,172,0,0
FI-00212,P-00938,EV-003,Asus Quat Mini Premium,448000,228826,61,0,0
FI-00213,P-04115,EV-002,Xiaomi Ong Nhom Premium,815000,423699,151,0,0
FI-00214,P-00950,EV-009,Apple Balo Ultra,1102000,633084,95,0,0
FI-00215,P-00816,EV-001,Razer Webcam Sport,2449000,1309657,28,0,0
FI-00216,P-04223,EV-001,Sony Loa Pro Max,1371000,447750,116,0,0
FI-00217,P-03342,EV-008,Xiaomi Tablet Sport,2590000,1761932,200,0,0
FI-00218,P-02459,EV-010,Razer May Anh V2,1774000,1049966,23,0,0
FI-00219,P-00888,EV-004,Logitech Webcam Mini,895000,535253,157,0,0
FI-00220,P-02575,EV-007,Xiaomi Chuot Gaming V2,967000,331143,200,0,0
FI-00221,P-03951,EV-006,Apple Balo Ultra,2963000,1685860,192,0,0
FI-00222,P-00737,EV-004,Sony Giay Ultra,569000,310031,186,0,0
FI-00223,P-03963,EV-005,Samsung Dong Ho Classic,2051000,733298,175,0,0
FI-00224,P-00881,EV-005,Anker Ban Phim Sport,1443000,989797,42,0,0
FI-00225,P-03942,EV-010,Sony Ao Thun Premium,1862000,682979,72,0,0
FI-00226,P-02044,EV-003,Sony Op Lung Classic,2889000,1791061,10,0,0
FI-00227,P-02176,EV-004,Razer Loa V2,142000,76829,66,0,0
FI-00228,P-03520,EV-007,Logitech Op Lung Lite,1014000,589061,104,0,0
FI-00229,P-04405,EV-006,Razer Cap Sac Mini,2077000,1419946,65,0,0
FI-00230,P-02590,EV-010,Samsung Tai Nghe Sport,1681000,830288,160,0,0
FI-00231,P-03397,EV-002,Samsung Tai Nghe XL,1158000,543130,147,0,0
FI-00232,P-04141,EV-007,Sony Ao Thun Premium,1117000,610611,68,0,0
FI-00233,P-04945,EV-009,JBL Ong Nhom Mini,1868000,849142,29,0,0
FI-00234,P-02101,EV-003,Samsung Laptop Mini,1759000,1042775,97,0,0
FI-00235,P-04084,EV-009,Samsung Dong Ho XL,2453000,1303635,85,0,0
FI-00236,P-01351,EV-009,Razer Loa Sport,586000,300250,139,0,0
FI-00237,P-02425,EV-003,Apple Loa V2,900000,486168,152,0,0
FI-00238,P-03283,EV-007,Anker USB Hub Sport,2718000,1389422,143,0,0
FI-00239,P-04886,EV-009,HP Dong Ho Ultra,1743000,909018,187,0,0
FI-00240,P-03540,EV-003,Razer Quat Mini V2,1313000,754549,115,0,0
FI-00241,P-03258,EV-003,Anker USB Hub Mini,1736000,926664,180,0,0
FI-00242,P-03700,EV-010,Apple Webcam Premium,1607000,594989,161,0,0
FI-00243,P-02485,EV-001,Xiaomi Webcam Mini,2289000,1517202,155,0,0
FI-00244,P-00092,EV-007,Apple Op Lung V2,2375000,963806,34,0,0
FI-00245,P-04481,EV-006,Xiaomi Webcam Sport,2231000,1449530,79,0,0
FI-00246,P-04858,EV-003,Asus USB Hub XL,185000,107580,55,0,0
FI-00247,P-03821,EV-007,Logitech Dong Ho Mini,2276000,899831,186,0,0
FI-00248,P-02657,EV-004,Anker Balo Premium,1050000,331526,86,0,0
FI-00249,P-00616,EV-010,Anker Webcam Ultra,2441000,860134,108,0,0
FI-00250,P-04015,EV-007,JBL Balo V2,811000,553798,181,0,0
FI-00251,P-01791,EV-008,Razer Tai Nghe Mini,2450000,1536498,59,0,0
FI-00252,P-01369,EV-005,JBL Ban Phim Pro Max,1622000,773955,166,0,0
FI-00253,P-03129,EV-009,Apple Ban Phim V2,1569000,914005,23,0,0
FI-00254,P-02352,EV-001,Logitech Dong Ho Plus,2552000,1599174,10,0,0
FI-00255,P-03119,EV-001,Anker Tablet Lite,1358000,829921,137,0,0
FI-00256,P-00721,EV-008,Xiaomi Quat Mini V2,553000,244436,141,0,0
FI-00257,P-03043,EV-009,Apple Kinh Mat Pro Max,2766000,1791069,136,0,0
FI-00258,P-00871,EV-007,Logitech USB Hub Lite,2092000,1098844,94,0,0
FI-00259,P-04798,EV-002,Apple Kinh Mat Premium,2667000,1262970,161,0,0
FI-00260,P-03222,EV-009,HP Monitor Sport,2169000,888127,127,0,0
FI-00261,P-03605,EV-008,HP Op Lung Classic,2042000,946735,93,0,0
FI-00262,P-01138,EV-008,Sony Kinh Mat Premium,290000,173176,139,0,0
FI-00263,P-00783,EV-010,Logitech Tai Nghe Sport,2218000,1548398,17,0,0
FI-00264,P-00479,EV-007,Sony Ban Phim Sport,1027000,358988,26,0,0
FI-00265,P-04489,EV-005,Xiaomi Dong Ho V2,2227000,1502120,19,0,0
FI-00266,P-03805,EV-007,JBL Ong Nhom Ultra,1592000,488182,28,0,0
FI-00267,P-01409,EV-003,Anker Sac Du Phong Ultra,1885000,1058640,24,0,0
FI-00268,P-03014,EV-008,Asus Loa XL,1799000,1157658,14,0,0
FI-00269,P-01218,EV-009,Logitech Kinh Mat Lite,2443000,1016620,88,0,0
FI-00270,P-00289,EV-002,Asus Webcam Sport,617000,280155,169,0,0
FI-00271,P-01534,EV-001,Apple May Anh Classic,1953000,1211067,105,0,0
FI-00272,P-02686,EV-003,JBL Sac Du Phong Sport,1416000,524650,140,0,0
FI-00273,P-01560,EV-003,Logitech Tai Nghe Premium,951000,341283,24,0,0
FI-00274,P-04095,EV-009,Samsung Dong Ho XL,2413000,1563405,62,0,0
FI-00275,P-00172,EV-007,Razer Ong Nhom Pro Max,753000,497281,101,0,0
FI-00276,P-02311,EV-008,Logitech Webcam Lite,2048000,722503,30,0,0
FI-00277,P-03575,EV-003,Xiaomi Balo Classic,367000,120827,41,0,0
FI-00278,P-03759,EV-006,HP USB Hub Mini,2956000,1119372,159,0,0
FI-00279,P-04519,EV-006,Anker Chuot Gaming Sport,479000,220698,12,0,0
FI-00280,P-04803,EV-001,Razer Laptop Plus,2224000,810565,24,0,0
FI-00281,P-01027,EV-003,Samsung Tai Nghe Premium,612000,427854,182,0,0
FI-00282,P-00113,EV-010,Anker Tai Nghe Ultra,638000,264333,151,0,0
FI-00283,P-01193,EV-005,Xiaomi Quat Mini V2,986000,636107,82,0,0
FI-00284,P-03179,EV-009,JBL Ban Phim Plus,1631000,517056,81,0,0
FI-00285,P-01851,EV-007,Anker Cap Sac XL,1053000,449638,199,0,0
FI-00286,P-03590,EV-003,Anker Giay Plus,1215000,547157,191,0,0
FI-00287,P-00364,EV-006,Anker May Anh Plus,1583000,742984,35,0,0
FI-00288,P-03739,EV-009,Samsung Ban Phim Pro Max,2516000,1390148,33,0,0
FI-00289,P-02757,EV-007,Razer Loa Classic,1182000,645334,91,0,0
FI-00290,P-04506,EV-007,Apple Tai Nghe Lite,2445000,1156070,55,0,0
FI-00291,P-04440,EV-006,Sony Ao Thun Mini,1276000,692687,49,0,0
FI-00292,P-03621,EV-003,Samsung Chuot Gaming Lite,1062000,645776,35,0,0
FI-00293,P-03973,EV-006,JBL Tablet Sport,1774000,736088,197,0,0
FI-00294,P-02639,EV-003,JBL Balo Sport,2276000,752495,155,0,0
FI-00295,P-02483,EV-009,Asus Sac Du Phong Plus,2335000,1095645,101,0,0
FI-00296,P-04666,EV-001,Asus Tablet Sport,937000,523482,188,0,0
FI-00297,P-03675,EV-008,Xiaomi Giay Ultra,2098000,808024,144,0,0
FI-00298,P-04304,EV-005,Xiaomi Kinh Mat Ultra,2681000,1509727,67,0,0
FI-00299,P-00495,EV-009,Razer Laptop Lite,452000,261553,74,0,0
FI-00300,P-02284,EV-009,Razer Balo V2,1507000,455987,102,0,0
FI-00301,P-03033,EV-010,JBL Quat Mini Lite,2783000,1893572,153,0,0
FI-00302,P-01635,EV-005,Apple Loa Lite,2526000,993724,139,0,0
FI-00303,P-02886,EV-005,Logitech Dong Ho Plus,2080000,1102032,163,0,0
FI-00304,P-01335,EV-008,Samsung Quat Mini Mini,506000,163008,24,0,0
FI-00305,P-03740,EV-004,HP Loa Plus,2438000,1584360,79,0,0
FI-00306,P-00839,EV-005,Xiaomi Dong Ho Plus,1741000,646489,65,0,0
FI-00307,P-02194,EV-010,Razer Giay Pro Max,193000,72212,94,0,0
FI-00308,P-03203,EV-006,Samsung Webcam Lite,2124000,1136583,128,0,0
FI-00309,P-03302,EV-009,Asus Op Lung Mini,1062000,344132,195,0,0
FI-00310,P-03016,EV-006,HP Webcam V2,2042000,1306062,117,0,0
FI-00311,P-02064,EV-003,Anker Monitor XL,2641000,1331999,62,0,0
FI-00312,P-04802,EV-007,Sony Webcam Lite,1548000,998405,16,0,0
FI-00313,P-00307,EV-010,Samsung Cap Sac V2,380000,224192,117,0,0
FI-00314,P-02801,EV-003,Xiaomi Chuot Gaming Ultra,2352000,930631,88,0,0
FI-00315,P-02998,EV-007,Razer Webcam Ultra,906000,498008,155,0,0
FI-00316,P-03803,EV-004,Anker Tai Nghe XL,369000,112974,126,0,0
FI-00317,P-03742,EV-009,Samsung Sac Du Phong Premium,2949000,1469082,94,0,0
FI-00318,P-00202,EV-003,Apple May Anh Lite,164000,104284,141,0,0
FI-00319,P-04267,EV-004,Sony USB Hub Ultra,2135000,1141005,164,0,0
FI-00320,P-00018,EV-001,Samsung USB Hub Ultra,442000,193934,163,0,0
FI-00321,P-00119,EV-007,Sony Tai Nghe XL,2875000,1794176,194,0,0
FI-00322,P-03270,EV-003,Asus Giay Sport,1391000,963839,28,0,0
FI-00323,P-01520,EV-009,Xiaomi Laptop Classic,139000,66956,198,0,0
FI-00324,P-04633,EV-006,Anker May Anh XL,363000,202847,128,0,0
FI-00325,P-01975,EV-010,Samsung Cap Sac Sport,1450000,622256,51,0,0
FI-00326,P-00267,EV-007,HP Laptop Pro Max,2974000,1832548,15,0,0
FI-00327,P-01211,EV-001,Logitech Loa Pro Max,2484000,802980,108,0,0
FI-00328,P-02172,EV-006,Anker Monitor Pro Max,1167000,740963,14,0,0
FI-00329,P-01115,EV-008,Asus Kinh Mat Premium,1989000,797740,28,0,0
FI-00330,P-01500,EV-010,Xiaomi Laptop Sport,1418000,701565,13,0,0
FI-00331,P-02954,EV-008,Xiaomi Laptop XL,1981000,925603,187,0,0
FI-00332,P-00847,EV-009,JBL Laptop Lite,1916000,1031355,69,0,0
