detailId,orderId,productId,quantity,unitPrice,subtotal
D-000161,O-000306,P-01503,1,2958000,2958000
D-000162,O-000795,P-04182,3,1558000,4674000
D-000163,O-001659,P-03045,4,1282000,5128000
D-000164,O-000801,P-03384,3,268000,804000
D-000165,O-002124,P-04482,4,681000,2724000
D-000166,O-002207,P-00819,2,1568000,3136000
D-000167,O-000686,P-04866,4,2601000,10404000
D-000168,O-002071,P-02241,3,1573000,4719000
D-000169,O-000168,P-01225,4,681000,2724000
D-000170,O-000848,P-01136,5,2967000,14835000
D-000171,O-002401,P-02370,2,2654000,5308000
D-000172,O-001153,P-03765,5,1201000,6005000
D-000173,O-002136,P-03491,5,1062000,5310000
D-000174,O-000648,P-02150,3,2506000,7518000
D-000175,O-002098,P-04607,2,1813000,3626000
D-000176,O-002486,P-03858,1,369000,369000
D-000177,O-001484,P-03114,2,1963000,3926000
D-000178,O-000973,P-03257,4,2176000,8704000
D-000179,O-002310,P-03674,3,2217000,6651000
D-000180,O-001388,P-01868,5,1178000,5890000
D-000181,O-002062,P-04715,4,494000,1976000
D-000182,O-001642,P-02968,5,1978000,9890000
D-000183,O-000118,P-01394,5,2853000,14265000
D-000184,O-001303,P-04824,3,1952000,5856000
D-000185,O-001324,P-03988,2,2156000,4312000
D-000186,O-001757,P-04044,3,883000,2649000
D-000187,O-000053,P-03370,5,1680000,8400000
D-000188,O-002044,P-00553,2,2890000,5780000
D-000189,O-001776,P-04868,5,2028000,10140000
D-000190,O-000973,P-01301,3,1257000,3771000
D-000191,O-002174,P-00586,2,2583000,5166000
D-000192,O-001203,P-02870,4,1781000,7124000
D-000193,O-001774,P-04542,2,280000,560000
D-000194,O-001028,P-00563,3,2524000,7572000
D-000195,O-001534,P-00117,1,2057000,2057000
D-000196,O-001443,P-02999,5,2526000,12630000
D-000197,O-001851,P-00583,1,771000,771000
D-000198,O-002039,P-02951,3,2158000,6474000
D-000199,O-002491,P-00311,4,544000,2176000
D-000200,O-002221,P-01037,3,2143000,6429000
D-000201,O-002453,P-02056,1,361000,361000
D-000202,O-002215,P-01759,4,686000,2744000
D-000203,O-002430,P-02978,1,1452000,1452000
D-000204,O-000010,P-01546,2,872000,1744000
D-000205,O-002496,P-00890,2,798000,1596000
D-000206,O-001919,P-01773,4,645000,2580000
D-000207,O-000951,P-03816,1,819000,819000
D-000208,O-001890,P-02033,5,1051000,5255000
D-000209,O-000225,P-04461,3,1510000,4530000
D-000210,O-001696,P-00393,5,2127000,10635000
D-000211,O-000115,P-04129,2,1022000,2044000
D-000212,O-001501,P-04491,1,951000,951000
D-000213,O-001082,P-01801,2,925000,1850000
D-000214,O-002157,P-04514,5,704000,3520000
D-000215,O-001382,P-03226,2,1485000,2970000
D-000216,O-001895,P-00595,4,2693000,10772000
D-000217,O-000433,P-04613,5,1199000,5995000
D-000218,O-000203,P-03805,4,955000,3820000
D-000219,O-001119,P-02862,4,2216000,8864000
D-000220,O-000274,P-01903,3,1880000,5640000
D-000221,O-000720,P-03015,1,1096000,1096000
D-000222,O-002425,P-02153,1,100000,100000
D-000223,O-001082,P-03399,3,2096000,6288000
D-000224,O-001675,P-02530,1,2579000,2579000
D-000225,O-000551,P-00326,2,2128000,4256000
D-000226,O-000122,P-02683,2,2140000,4280000
D-000227,O-002193,P-04357,3,2935000,8805000
D-000228,O-001631,P-00349,1,2879000,2879000
D-000229,O-001611,P-01722,4,1340000,5360000
D-000230,O-000260,P-04001,3,153000,459000
D-000231,O-001336,P-03137,1,338000,338000
D-000232,O-002353,P-01883,1,1093000,1093000
D-000233,O-001085,P-01479,4,623000,2492000
D-000234,O-000657,P-01143,4,2496000,9984000
D-000235,O-000762,P-02524,1,2430000,2430000
D-000236,O-001695,P-01066,5,2945000,14725000
D-000237,O-001111,P-03866,2,1734000,3468000
D-000238,O-001547,P-04885,3,1586000,4758000
D-000239,O-001418,P-00600,1,333000,333000
D-000240,O-000650,P-00271,3,489000,1467000
D-000241,O-001598,P-00317,1,917000,917000
D-000242,O-000663,P-04253,2,960000,1920000
D-000243,O-000169,P-03192,5,1404000,7020000
D-000244,O-000118,P-04145,3,2457000,7371000
D-000245,O-000087,P-02752,5,1134000,5670000
D-000246,O-000830,P-03112,2,1041000,2082000
D-000247,O-001657,P-01917,1,1684000,1684000
D-000248,O-000807,P-01695,1,2027000,2027000
D-000249,O-001936,P-01839,5,2056000,10280000
D-000250,O-001618,P-01967,5,653000,3265000
D-000251,O-000017,P-03119,2,2205000,4410000
D-000252,O-001850,P-03728,2,1801000,3602000
D-000253,O-001632,P-02803,2,1784000,3568000
D-000254,O-001095,P-03605,3,2257000,6771000
D-000255,O-002267,P-02759,5,340000,1700000
D-000256,O-001987,P-02691,3,1121000,3363000
D-000257,O-000545,P-03581,4,561000,2244000
D-000258,O-000432,P-03017,3,2099000,6297000
D-000259,O-001951,P-02140,3,119000,357000
D-000260,O-001506,P-00804,5,1086000,5430000
D-000261,O-000515,P-01540,1,1642000,1642000
D-000262,O-002424,P-00968,2,2613000,5226000
D-000263,O-001418,P-03800,3,1466000,4398000
D-000264,O-001242,P-03782,2,285000,570000
D-000265,O-000477,P-03961,1,2082000,2082000
D-000266,O-000812,P-04761,4,925000,3700000
D-000267,O-002327,P-03231,3,1120000,3360000
D-000268,O-002175,P-00748,5,2200000,11000000
D-000269,O-000474,P-02189,5,2225000,11125000
D-000270,O-001170,P-03707,1,2628000,2628000
D-000271,O-000831,P-01782,3,428000,1284000
D-000272,O-002263,P-03833,2,2204000,4408000
D-000273,O-001040,P-01667,3,1490000,4470000
D-000274,O-000279,P-01218,2,2696000,5392000
D-000275,O-001656,P-00379,5,1207000,6035000
D-000276,O-001609,P-03756,4,102000,408000
D-000277,O-000973,P-03196,4,239000,956000
D-000278,O-001008,P-01530,1,1379000,1379000
D-000279,O-001958,P-02001,3,1719000,5157000
D-000280,O-000235,P-00571,1,2952000,2952000
D-000281,O-000392,P-00316,1,1290000,1290000
D-000282,O-000564,P-01913,4,1996000,7984000
D-000283,O-001713,P-04379,2,883000,1766000
D-000284,O-000728,P-01160,5,545000,2725000
D-000285,O-001472,P-04414,4,1282000,5128000
D-000286,O-000485,P-00047,5,2036000,10180000
D-000287,O-000866,P-03791,4,667000,2668000
D-000288,O-001444,P-02936,2,323000,646000
D-000289,O-000947,P-01748,4,1294000,5176000
D-000290,O-002127,P-04117,5,512000,2560000
D-000291,O-002000,P-04456,1,1021000,1021000
D-000292,O-000378,P-01313,2,1548000,3096000
D-000293,O-000380,P-01624,3,2330000,6990000
D-000294,O-000775,P-00258,2,2513000,5026000
D-000295,O-001500,P-04478,3,1054000,3162000
D-000296,O-000829,P-02432,2,584000,1168000
D-000297,O-000905,P-00099,3,1422000,4266000
D-000298,O-001716,P-04611,2,244000,488000
D-000299,O-002470,P-03227,1,1593000,1593000
D-000300,O-002310,P-00464,3,78000,234000
D-000301,O-002301,P-03856,5,2905000,14525000
D-000302,O-001684,P-04151,1,2199000,2199000
D-000303,O-000036,P-01058,4,2276000,9104000
D-000304,O-000696,P-02567,1,1337000,1337000
D-000305,O-000683,P-04631,1,2210000,2210000
D-000306,O-000154,P-03464,2,1795000,3590000
D-000307,O-001326,P-04507,4,681000,2724000
D-000308,O-001685,P-02090,5,249000,1245000
D-000309,O-000543,P-03814,2,1874000,3748000
D-000310,O-002098,P-01760,4,965000,3860000
D-000311,O-002376,P-03822,2,654000,1308000
D-000312,O-002046,P-00712,5,807000,4035000
D-000313,O-001479,P-00389,3,1598000,4794000
D-000314,O-000638,P-01342,1,1697000,1697000
D-000315,O-000076,P-03768,5,2327000,11635000
D-000316,O-000530,P-02899,2,1073000,2146000
D-000317,O-000886,P-00777,3,2578000,7734000
D-000318,O-001379,P-03934,2,2265000,4530000
D-000319,O-001086,P-02068,1,2089000,2089000
D-000320,O-000665,P-02704,3,759000,2277000
D-000321,O-000660,P-03986,5,238000,1190000
D-000322,O-002031,P-04733,2,1532000,3064000
D-000323,O-001732,P-02015,4,80000,320000
D-000324,O-001009,P-00968,2,342000,684000
D-000325,O-000310,P-04181,5,1644000,8220000
D-000326,O-000551,P-04832,5,2319000,11595000
D-000327,O-000351,P-04128,5,159000,795000
D-000328,O-001211,P-02498,2,2682000,5364000
D-000329,O-000828,P-01296,2,359000,718000
D-000330,O-000081,P-02806,1,528000,528000
D-000331,O-001085,P-04985,4,320000,1280000
D-000332,O-001192,P-02588,3,1391000,4173000
D-000333,O-001384,P-01029,2,2776000,5552000
D-000334,O-001560,P-01906,2,265000,530000
D-000335,O-002401,P-03522,4,169000,676000
D-000336,O-001601,P-04977,1,1333000,1333000
D-000337,O-000948,P-03802,4,1302000,5208000
D-000338,O-000311,P-02604,3,1076000,3228000
D-000339,O-000856,P-03094,2,1980000,3960000
D-000340,O-000065,P-02330,2,2734000,5468000
D-000341,O-000990,P-00432,4,2860000,11440000
D-000342,O-001331,P-03071,2,724000,1448000
D-000343,O-002133,P-04959,4,279000,1116000
D-000344,O-000016,P-02166,2,1483000,2966000
D-000345,O-002153,P-01292,2,2474000,4948000
D-000346,O-000014,P-04436,2,2171000,4342000
D-000347,O-001216,P-02464,3,2144000,6432000
D-000348,O-002285,P-01428,2,1875000,3750000
D-000349,O-002198,P-04186,2,897000,1794000
D-000350,O-001946,P-01283,5,2561000,12805000
D-000351,O-000605,P-04802,1,1142000,1142000
D-000352,O-001919,P-01146,4,1936000,7744000
D-000353,O-000141,P-00449,2,2602000,5204000
D-000354,O-000935,P-03861,5,1886000,9430000
D-000355,O-001548,P-03393,5,1006000,5030000
D-000356,O-000846,P-03983,2,401000,802000
D-000357,O-001235,P-02159,4,1385000,5540000
D-000358,O-001230,P-04602,4,2667000,10668000
D-000359,O-000911,P-04596,5,1121000,5605000
D-000360,O-000253,P-03882,1,2183000,2183000
D-000361,O-000219,P-00148,4,2451000,9804000
D-000362,O-000019,P-00748,4,1870000,7480000
D-000363,O-001933,P-00838,5,1332000,6660000
D-000364,O-002069,P-03199,5,2129000,10645000
D-000365,O-001200,P-03573,3,2559000,7677000
D-000366,O-000707,P-02764,2,2576000,5152000
D-000367,O-001983,P-03580,4,62000,248000
D-000368,O-000998,P-01533,5,2675000,13375000
D-000369,O-001056,P-03151,4,59000,236000
D-000370,O-000779,P-03852,5,1861000,9305000
D-000371,O-002053,P-00067,3,549000,1647000
D-000372,O-000315,P-04652,5,2432000,12160000
D-000373,O-001594,P-01026,5,1511000,7555000
D-000374,O-001039,P-01790,5,1754000,8770000
D-000375,O-001440,P-03864,3,2092000,6276000
D-000376,O-001196,P-00114,1,2044000,2044000
D-000377,O-000982,P-02259,4,584000,2336000
D-000378,O-001586,P-03036,5,92000,460000
D-000379,O-000430,P-03461,5,2531000,12655000
D-000380,O-000992,P-01725,4,2259000,9036000
D-000381,O-001036,P-04461,2,1522000,3044000
D-000382,O-002019,P-03214,5,1058000,5290000
D-000383,O-000853,P-04289,2,339000,678000
D-000384,O-001196,P-01288,5,398000,1990000
D-000385,O-000695,P-02530,1,1270000,1270000
D-000386,O-000125,P-00759,4,242000,968000
D-000387,O-002271,P-01764,1,1547000,1547000
D-000388,O-000979,P-00862,2,683000,1366000
D-000389,O-001656,P-02334,4,1597000,6388000
D-000390,O-002011,P-04476,1,1672000,1672000
D-000391,O-000214,P-02099,3,1481000,4443000
D-000392,O-002188,P-00846,1,2466000,2466000
D-000393,O-001521,P-03128,5,1626000,8130000
D-000394,O-001666,P-04115,5,2382000,11910000
D-000395,O-001368,P-04442,5,275000,1375000
D-000396,O-001487,P-04180,5,2821000,14105000
D-000397,O-001323,P-01262,3,2053000,6159000
D-000398,O-002266,P-02813,1,2849000,2849000
D-000399,O-001818,P-01658,3,2844000,8532000
D-000400,O-001211,P-04703,3,2395000,7185000
D-000401,O-002343,P-02234,1,1435000,1435000
D-000402,O-001709,P-02432,3,1832000,5496000
D-000403,O-001028,P-02972,4,2389000,9556000
D-000404,O-000653,P-00012,5,1887000,9435000
D-000405,O-001833,P-02703,1,2919000,2919000
D-000406,O-000781,P-02111,5,1177000,5885000
D-000407,O-001388,P-03614,5,2716000,13580000
D-000408,O-001151,P-00096,3,653000,1959000
D-000409,O-001088,P-01341,1,1314000,1314000
D-000410,O-001539,P-03339,3,1671000,5013000
D-000411,O-002181,P-03426,5,952000,4760000
D-000412,O-002025,P-01067,2,2451000,4902000
D-000413,O-002121,P-01468,3,1089000,3267000
D-000414,O-000817,P-01132,2,2775000,5550000
D-000415,O-001960,P-04616,2,2835000,5670000
D-000416,O-000583,P-03146,4,1901000,7604000
D-000417,O-001480,P-00974,2,1489000,2978000
D-000418,O-001258,P-00169,3,1346000,4038000
D-000419,O-000725,P-04218,3,187000,561000
D-000420,O-000497,P-03583,1,1563000,1563000
D-000421,O-002105,P-03297,3,2500000,7500000
D-000422,O-000722,P-01945,3,61000,183000
D-000423,O-001019,P-04185,4,1352000,5408000
D-000424,O-001770,P-03100,4,704000,2816000
D-000425,O-000801,P-04590,4,116000,464000
D-000426,O-001011,P-03365,3,1108000,3324000
D-000427,O-002182,P-02006,5,55000,275000
D-000428,O-001538,P-02443,2,1602000,3204000
D-000429,O-000167,P-04718,1,2025000,2025000
D-000430,O-001781,P-03910,5,1277000,6385000
D-000431,O-000448,P-04077,5,2999000,14995000
D-000432,O-001495,P-00467,5,2016000,10080000
D-000433,O-001617,P-02667,1,581000,581000
D-000434,O-000223,P-01531,2,1088000,2176000
D-000435,O-001035,P-00776,4,1605000,6420000
D-000436,O-002307,P-01031,1,2407000,2407000
D-000437,O-001057,P-02683,4,869000,3476000
D-000438,O-000132,P-00736,1,2975000,2975000
D-000439,O-001999,P-03830,4,64000,256000
D-000440,O-000527,P-00883,4,643000,2572000
D-000441,O-002000,P-04203,3,1605000,4815000
D-000442,O-001174,P-01961,1,225000,225000
D-000443,O-000751,P-01061,2,2115000,4230000
D-000444,O-001629,P-04638,5,1676000,8380000
D-000445,O-000481,P-02194,5,796000,3980000
D-000446,O-000828,P-04750,2,2683000,5366000
D-000447,O-000648,P-01637,2,2799000,5598000
D-000448,O-001810,P-00233,2,1121000,2242000
D-000449,O-001571,P-04522,2,2396000,4792000
D-000450,O-002197,P-03660,1,1134000,1134000
D-000451,O-001433,P-03459,2,2304000,4608000
D-000452,O-001173,P-04661,1,2258000,2258000
D-000453,O-000222,P-01514,4,628000,2512000
D-000454,O-001717,P-01008,5,2969000,14845000
D-000455,O-000307,P-04619,2,2257000,4514000
D-000456,O-000754,P-04940,2,912000,1824000
D-000457,O-001306,P-04544,1,1136000,1136000
D-000458,O-002412,P-03576,5,2434000,12170000
D-000459,O-002302,P-02987,5,2199000,10995000
D-000460,O-000395,P-03416,4,876000,3504000
D-000461,O-002443,P-00360,2,1422000,2844000
D-000462,O-000542,P-02116,1,1377000,1377000
D-000463,O-001761,P-01801,1,289000,289000
D-000464,O-000793,P-03129,5,1497000,7485000
D-000465,O-000638,P-01890,4,1656000,6624000
D-000466,O-002063,P-01682,4,1262000,5048000
D-000467,O-000830,P-03867,5,283000,1415000
D-000468,O-001544,P-01788,4,356000,1424000
D-000469,O-002425,P-03348,5,1340000,6700000
D-000470,O-000675,P-00022,4,2336000,9344000
D-000471,O-002452,P-03977,5,207000,1035000
D-000472,O-000588,P-03296,4,2315000,9260000
D-000473,O-000469,P-01435,4,475000,1900000
D-000474,O-001257,P-02701,5,2347000,11735000
D-000475,O-001941,P-04127,5,2787000,13935000
D-000476,O-000666,P-00847,4,2336000,9344000
D-000477,O-002329,P-01697,5,2508000,12540000
D-000478,O-000369,P-02732,1,1919000,1919000
D-000479,O-002227,P-00540,5,1320000,6600000
D-000480,O-001759,P-03209,2,2695000,5390000
D-000481,O-000332,P-01760,4,2405000,9620000
D-000482,O-000081,P-04743,3,1524000,4572000
D-000483,O-002142,P-02724,4,325000,1300000
D-000484,O-000901,P-03102,3,2161000,6483000
D-000485,O-001911,P-03357,2,2544000,5088000
D-000486,O-001940,P-01043,3,108000,324000
D-000487,O-002312,P-02826,1,1196000,1196000
D-000488,O-001503,P-01664,1,2272000,2272000
D-000489,O-000974,P-02162,1,1282000,1282000
D-000490,O-001162,P-01415,3,366000,1098000
D-000491,O-001298,P-02323,4,1648000,6592000
D-000492,O-002085,P-04458,2,333000,666000
D-000493,O-000212,P-04123,5,1920000,9600000
D-000494,O-001200,P-00717,2,2226000,4452000
D-000495,O-000456,P-03894,4,1026000,4104000
D-000496,O-000873,P-03386,4,1126000,4504000
D-000497,O-002298,P-03251,1,1629000,1629000
D-000498,O-001802,P-03258,1,641000,641000
D-000499,O-000708,P-00900,4,2109000,8436000
D-000500,O-001575,P-00648,1,1105000,1105000
D-000501,O-000816,P-00993,2,517000,1034000
D-000502,O-001232,P-02973,5,1462000,7310000
D-000503,O-000293,P-00121,3,963000,2889000
D-000504,O-000466,P-01213,5,727000,3635000
D-000505,O-002328,P-03234,5,2983000,14915000
D-000506,O-000891,P-01336,2,230000,460000
D-000507,O-001757,P-00470,2,1654000,3308000
D-000508,O-000510,P-01801,3,1280000,3840000
D-000509,O-000883,P-00316,5,602000,3010000
D-000510,O-001797,P-04797,4,584000,2336000
D-000511,O-002463,P-01617,1,2124000,2124000
D-000512,O-001652,P-01327,5,1729000,8645000
D-000513,O-001210,P-03101,5,1804000,9020000
D-000514,O-000064,P-01078,4,1155000,4620000
D-000515,O-000680,P-00755,5,2345000,11725000
D-000516,O-000038,P-02515,5,1231000,6155000
D-000517,O-001114,P-03508,1,2668000,2668000
D-000518,O-000708,P-01611,1,939000,939000
D-000519,O-000986,P-01845,5,51000,255000
D-000520,O-000964,P-00430,5,869000,4345000
D-000521,O-000257,P-00929,5,2493000,12465000
D-000522,O-002005,P-04426,5,1912000,9560000
D-000523,O-001545,P-01406,3,1470000,4410000
D-000524,O-001304,P-01768,2,659000,1318000
D-000525,O-001201,P-04502,5,2346000,11730000
D-000526,O-001223,P-02559,3,2580000,7740000
D-000527,O-000501,P-01252,5,1712000,8560000
D-000528,O-000947,P-01250,1,373000,373000
D-000529,O-001353,P-03309,1,2788000,2788000
D-000530,O-001363,P-00907,5,885000,4425000
D-000531,O-001862,P-02816,4,754000,3016000
D-000532,O-002485,P-03818,4,2993000,11972000
D-000533,O-001953,P-01886,1,2303000,2303000
D-000534,O-001701,P-04850,3,1368000,4104000
D-000535,O-000025,P-04559,2,1737000,3474000
D-000536,O-000929,P-02401,4,537000,2148000
D-000537,O-001497,P-01122,4,2992000,11968000
D-000538,O-001718,P-01279,2,879000,1758000
D-000539,O-000953,P-00354,4,1894000,7576000
D-000540,O-000448,P-01587,5,1522000,7610000
D-000541,O-002261,P-02598,4,481000,1924000
D-000542,O-000324,P-04027,2,932000,1864000
D-000543,O-000941,P-01822,3,1798000,5394000
D-000544,O-002085,P-04074,4,797000,3188000
D-000545,O-001800,P-02536,4,1136000,4544000
D-000546,O-001232,P-03271,4,112000,448000
D-000547,O-000388,P-00911,2,488000,976000
D-000548,O-002142,P-01665,5,2319000,11595000
D-000549,O-000884,P-00530,4,2357000,9428000
D-000550,O-000697,P-03565,5,2775000,13875000
D-000551,O-002097,P-01050,2,978000,1956000
D-000552,O-001651,P-02158,5,2843000,14215000
D-000553,O-001926,P-00075,1,2172000,2172000
D-000554,O-000279,P-02054,2,1849000,3698000
D-000555,O-002190,P-02737,3,724000,2172000
D-000556,O-002432,P-00669,3,2149000,6447000
D-000557,O-001843,P-02862,1,2933000,2933000
D-000558,O-001202,P-01184,5,2155000,10775000
D-000559,O-001746,P-00294,2,1944000,3888000
D-000560,O-000620,P-02110,3,1580000,4740000
D-000561,O-001018,P-01471,5,1001000,5005000
D-000562,O-000083,P-02882,5,1845000,9225000
D-000563,O-002156,P-03984,2,2578000,5156000
D-000564,O-001265,P-02526,1,2558000,2558000
D-000565,O-002346,P-02650,3,1572000,4716000
D-000566,O-002277,P-02246,4,567000,2268000
D-000567,O-002438,P-04351,3,827000,2481000
