orderId,customerId,orderDate,totalAmount,status
O-000076,C-00730,2025-06-24,4621000,SUCCESS
O-000077,C-01241,2025-06-08,1671000,SUCCESS
O-000078,C-00152,2025-06-13,3625000,SUCCESS
O-000079,C-00333,2025-06-20,3179000,FAILED
O-000080,C-00458,2025-06-05,4777000,FAILED
O-000081,C-00412,2025-06-12,3607000,FAILED
O-000082,C-00831,2025-06-12,1172000,SUCCESS
O-000083,C-00446,2025-06-05,1916000,SUCCESS
O-000084,C-00114,2025-06-04,356000,SUCCESS
O-000085,C-00986,2025-06-28,1080000,SUCCESS
O-000086,C-00087,2025-06-29,2152000,SUCCESS
O-000087,C-00942,2025-06-22,3709000,SUCCESS
O-000088,C-01476,2025-06-06,3589000,SUCCESS
O-000089,C-00336,2025-06-15,2427000,FAILED
O-000090,C-00274,2025-06-18,1599000,SUCCESS
O-000091,C-00391,2025-06-18,1572000,SUCCESS
O-000092,C-01971,2025-06-18,2973000,SUCCESS
O-000093,C-01593,2025-06-05,362000,SUCCESS
O-000094,C-01376,2025-06-13,1874000,SUCCESS
O-000095,C-01928,2025-06-28,2148000,SUCCESS
O-000096,C-01166,2025-06-05,794000,SUCCESS
O-000097,C-00493,2025-06-25,3969000,SUCCESS
O-000098,C-00691,2025-06-30,2152000,SUCCESS
O-000099,C-00708,2025-06-22,3602000,SUCCESS
O-000100,C-01857,2025-06-28,1714000,FAILED
O-000101,C-00392,2025-06-05,1283000,SUCCESS
O-000102,C-00092,2025-06-29,4798000,SUCCESS
O-000103,C-00899,2025-06-10,3247000,SUCCESS
O-000104,C-01200,2025-06-22,3547000,FAILED
O-000105,C-00843,2025-06-10,237000,FAILED
O-000106,C-01381,2025-06-11,1095000,SUCCESS
O-000107,C-00205,2025-06-23,147000,SUCCESS
O-000108,C-00147,2025-06-22,4302000,FAILED
O-000109,C-01064,2025-06-05,762000,SUCCESS
O-000110,C-01072,2025-06-27,1003000,SUCCESS
O-000111,C-01747,2025-06-23,1578000,SUCCESS
O-000112,C-01163,2025-06-05,2941000,SUCCESS
O-000113,C-01693,2025-06-25,2389000,SUCCESS
O-000114,C-01130,2025-06-26,1797000,SUCCESS
O-000115,C-00967,2025-06-01,3773000,SUCCESS
O-000116,C-00369,2025-06-10,3990000,SUCCESS
O-000117,C-01153,2025-06-08,4943000,SUCCESS
O-000118,C-00419,2025-06-21,2232000,SUCCESS
O-000119,C-01334,2025-06-03,4995000,SUCCESS
O-000120,C-01569,2025-06-30,4010000,SUCCESS
O-000121,C-00921,2025-06-04,4175000,SUCCESS
O-000122,C-01653,2025-06-18,4983000,SUCCESS
O-000123,C-01955,2025-06-21,2608000,SUCCESS
O-000124,C-01909,2025-06-30,4905000,SUCCESS
O-000125,C-01662,2025-06-18,2818000,SUCCESS
O-000126,C-00027,2025-06-14,2489000,SUCCESS
O-000127,C-00732,2025-06-06,1802000,SUCCESS
O-000128,C-00220,2025-06-28,1646000,SUCCESS
O-000129,C-00644,2025-06-02,4623000,SUCCESS
O-000130,C-00572,2025-06-10,2209000,SUCCESS
O-000131,C-01047,2025-06-25,815000,SUCCESS
O-000132,C-00842,2025-06-28,2324000,FAILED
O-000133,C-01048,2025-06-03,2499000,SUCCESS
O-000134,C-00987,2025-06-18,3154000,SUCCESS
O-000135,C-00152,2025-06-27,1234000,SUCCESS
O-000136,C-01295,2025-06-24,242000,SUCCESS
O-000137,C-00515,2025-06-07,2444000,SUCCESS
O-000138,C-00375,2025-06-12,2935000,SUCCESS
O-000139,C-01535,2025-06-27,4656000,SUCCESS
O-000140,C-01720,2025-06-10,1428000,SUCCESS
O-000141,C-00313,2025-06-22,3564000,SUCCESS
O-000142,C-01623,2025-06-27,3731000,SUCCESS
O-000143,C-01060,2025-06-24,3814000,SUCCESS
O-000144,C-00967,2025-06-08,4401000,SUCCESS
O-000145,C-01073,2025-06-25,841000,SUCCESS
O-000146,C-00613,2025-06-07,1139000,SUCCESS
O-000147,C-01222,2025-06-06,2388000,SUCCESS
O-000148,C-00680,2025-06-24,3261000,SUCCESS
O-000149,C-00113,2025-06-12,2707000,SUCCESS
O-000150,C-00979,2025-06-25,4471000,SUCCESS
O-000151,C-00463,2025-06-01,2196000,SUCCESS
O-000152,C-00701,2025-06-28,1026000,SUCCESS
O-000153,C-00037,2025-06-22,3992000,SUCCESS
O-000154,C-00781,2025-06-02,359000,FAILED
O-000155,C-01982,2025-06-30,3755000,SUCCESS
O-000156,C-00376,2025-06-26,2333000,FAILED
O-000157,C-01536,2025-06-28,4182000,SUCCESS
O-000158,C-00355,2025-06-10,4412000,SUCCESS
O-000159,C-00337,2025-06-22,2769000,SUCCESS
O-000160,C-01556,2025-06-07,2367000,SUCCESS
O-000161,C-01128,2025-06-30,3045000,SUCCESS
O-000162,C-00903,2025-06-18,4157000,SUCCESS
O-000163,C-01031,2025-06-10,2522000,SUCCESS
O-000164,C-00301,2025-06-02,4006000,SUCCESS
O-000165,C-01457,2025-06-14,2766000,SUCCESS
O-000166,C-00563,2025-06-08,2183000,SUCCESS
O-000167,C-01407,2025-06-03,1938000,SUCCESS
O-000168,C-01788,2025-06-21,350000,SUCCESS
O-000169,C-01439,2025-06-25,117000,SUCCESS
O-000170,C-00297,2025-06-17,2258000,SUCCESS
O-000171,C-00754,2025-06-04,3270000,SUCCESS
O-000172,C-00575,2025-06-07,2241000,SUCCESS
O-000173,C-00913,2025-06-04,3211000,SUCCESS
O-000174,C-01743,2025-06-13,3757000,SUCCESS
O-000175,C-00106,2025-06-03,2384000,SUCCESS
O-000176,C-00551,2025-06-04,1271000,SUCCESS
O-000177,C-01155,2025-06-28,2438000,SUCCESS
O-000178,C-00643,2025-06-20,3703000,SUCCESS
O-000179,C-01690,2025-06-17,756000,SUCCESS
O-000180,C-00231,2025-06-30,3909000,SUCCESS
O-000181,C-01228,2025-06-15,811000,SUCCESS
O-000182,C-01735,2025-06-11,665000,SUCCESS
O-000183,C-01655,2025-06-10,2077000,SUCCESS
O-000184,C-01245,2025-06-06,3640000,SUCCESS
O-000185,C-00601,2025-06-25,514000,SUCCESS
O-000186,C-00702,2025-06-18,2825000,FAILED
O-000187,C-00620,2025-06-26,3350000,SUCCESS
O-000188,C-00898,2025-06-01,1088000,FAILED
O-000189,C-01614,2025-06-14,3946000,SUCCESS
O-000190,C-01046,2025-06-03,3403000,SUCCESS
O-000191,C-01430,2025-06-16,1363000,SUCCESS
O-000192,C-01463,2025-06-10,3303000,SUCCESS
O-000193,C-00819,2025-06-18,1166000,SUCCESS
O-000194,C-01670,2025-06-01,2020000,SUCCESS
O-000195,C-00415,2025-06-13,2762000,SUCCESS
O-000196,C-01747,2025-06-07,1573000,SUCCESS
O-000197,C-00904,2025-06-08,3301000,FAILED
O-000198,C-01639,2025-06-19,1178000,SUCCESS
O-000199,C-01087,2025-06-05,189000,SUCCESS
O-000200,C-00463,2025-06-12,2171000,SUCCESS
O-000201,C-01366,2025-06-16,3390000,SUCCESS
O-000202,C-01312,2025-06-13,3092000,SUCCESS
O-000203,C-01314,2025-06-24,3931000,SUCCESS
O-000204,C-01756,2025-06-15,3016000,SUCCESS
O-000205,C-00992,2025-06-05,2955000,SUCCESS
O-000206,C-00080,2025-06-13,461000,SUCCESS
O-000207,C-00694,2025-06-11,126000,SUCCESS
O-000208,C-01497,2025-06-15,4169000,SUCCESS
O-000209,C-00590,2025-06-22,2914000,SUCCESS
O-000210,C-00288,2025-06-03,4342000,SUCCESS
O-000211,C-01446,2025-06-11,1452000,SUCCESS
O-000212,C-00974,2025-06-09,3616000,SUCCESS
O-000213,C-00983,2025-06-22,2541000,SUCCESS
O-000214,C-01128,2025-06-18,4028000,SUCCESS
O-000215,C-01593,2025-06-07,675000,SUCCESS
O-000216,C-01736,2025-06-30,3767000,SUCCESS
O-000217,C-00538,2025-06-18,494000,SUCCESS
O-000218,C-01325,2025-06-03,803000,SUCCESS
O-000219,C-00480,2025-06-01,3150000,SUCCESS
O-000220,C-01793,2025-06-17,132000,SUCCESS
O-000221,C-00864,2025-06-07,2022000,FAILED
O-000222,C-01044,2025-06-04,1986000,SUCCESS
O-000223,C-00017,2025-06-10,4132000,SUCCESS
O-000224,C-00170,2025-06-29,4595000,SUCCESS
O-000225,C-01317,2025-06-18,893000,SUCCESS
O-000226,C-00455,2025-06-20,1622000,SUCCESS
O-000227,C-00922,2025-06-03,3199000,SUCCESS
O-000228,C-00379,2025-06-13,3370000,SUCCESS
O-000229,C-01214,2025-06-11,1065000,FAILED
O-000230,C-01918,2025-06-07,4648000,SUCCESS
O-000231,C-00418,2025-06-12,3060000,SUCCESS
O-000232,C-01385,2025-06-01,844000,SUCCESS
O-000233,C-01321,2025-06-03,3159000,SUCCESS
O-000234,C-01095,2025-06-14,3690000,SUCCESS
O-000235,C-00785,2025-06-04,4810000,SUCCESS
O-000236,C-01325,2025-06-10,197000,SUCCESS
O-000237,C-01043,2025-06-21,955000,SUCCESS
O-000238,C-01781,2025-06-12,3719000,SUCCESS
O-000239,C-01259,2025-06-24,1953000,SUCCESS
O-000240,C-00077,2025-06-25,1858000,SUCCESS
O-000241,C-00130,2025-06-01,127000,SUCCESS
O-000242,C-00467,2025-06-10,4734000,SUCCESS
O-000243,C-01905,2025-06-03,2765000,FAILED
O-000244,C-00294,2025-06-10,2232000,FAILED
O-000245,C-00628,2025-06-01,4585000,SUCCESS
O-000246,C-00090,2025-06-22,4011000,SUCCESS
O-000247,C-01750,2025-06-10,2109000,SUCCESS
O-000248,C-01358,2025-06-19,3465000,SUCCESS
O-000249,C-00400,2025-06-03,3908000,SUCCESS
O-000250,C-00669,2025-06-27,511000,SUCCESS
O-000251,C-00982,2025-06-26,1382000,SUCCESS
O-000252,C-00904,2025-06-11,2381000,SUCCESS
O-000253,C-00227,2025-06-28,1418000,SUCCESS
O-000254,C-00671,2025-06-26,1142000,SUCCESS
O-000255,C-00449,2025-06-17,2295000,SUCCESS
O-000256,C-01989,2025-06-30,1817000,SUCCESS
O-000257,C-01737,2025-06-01,4218000,SUCCESS
O-000258,C-01322,2025-06-10,3135000,SUCCESS
O-000259,C-00812,2025-06-13,2072000,FAILED
O-000260,C-00618,2025-06-27,1016000,SUCCESS
O-000261,C-01714,2025-06-14,372000,SUCCESS
O-000262,C-01740,2025-06-30,2905000,SUCCESS
O-000263,C-00831,2025-06-03,4348000,SUCCESS
O-000264,C-01754,2025-06-15,3418000,SUCCESS
O-000265,C-00683,2025-06-10,4249000,SUCCESS
O-000266,C-01022,2025-06-14,816000,SUCCESS
O-000267,C-01664,2025-06-16,1515000,SUCCESS
O-000268,C-00539,2025-06-07,1937000,SUCCESS
O-000269,C-01873,2025-06-06,3878000,SUCCESS
O-000270,C-01825,2025-06-01,4205000,SUCCESS
O-000271,C-01638,2025-06-14,2986000,SUCCESS
O-000272,C-00423,2025-06-03,2188000,SUCCESS
O-000273,C-00949,2025-06-11,3138000,SUCCESS
O-000274,C-01230,2025-06-11,308000,SUCCESS
O-000275,C-01673,2025-06-23,1583000,SUCCESS
O-000276,C-01066,2025-06-21,1339000,SUCCESS
O-000277,C-01077,2025-06-12,176000,SUCCESS
O-000278,C-00436,2025-06-23,2200000,SUCCESS
O-000279,C-00430,2025-06-07,3996000,SUCCESS
O-000280,C-00309,2025-06-04,3580000,SUCCESS
O-000281,C-00364,2025-06-07,4858000,SUCCESS
O-000282,C-01217,2025-06-11,4207000,SUCCESS
O-000283,C-01459,2025-06-18,2567000,SUCCESS
O-000284,C-00528,2025-06-29,3153000,SUCCESS
O-000285,C-01248,2025-06-23,3913000,SUCCESS
O-000286,C-00732,2025-06-24,467000,SUCCESS
O-000287,C-01166,2025-06-13,1256000,SUCCESS
O-000288,C-01045,2025-06-05,3876000,SUCCESS
O-000289,C-00859,2025-06-22,3439000,FAILED
O-000290,C-01612,2025-06-27,3942000,SUCCESS
O-000291,C-00596,2025-06-22,3324000,SUCCESS
O-000292,C-00200,2025-06-14,4359000,SUCCESS
O-000293,C-01426,2025-06-20,2842000,SUCCESS
O-000294,C-00539,2025-06-06,4931000,SUCCESS
O-000295,C-00981,2025-06-06,100000,SUCCESS
O-000296,C-00163,2025-06-24,1163000,SUCCESS
O-000297,C-01996,2025-06-03,1128000,SUCCESS
O-000298,C-01083,2025-06-19,4436000,FAILED
O-000299,C-01216,2025-06-15,944000,SUCCESS
O-000300,C-00600,2025-06-30,3405000,SUCCESS
O-000301,C-00627,2025-06-10,4909000,SUCCESS
O-000302,C-00732,2025-06-04,1251000,SUCCESS
O-000303,C-01874,2025-06-12,1683000,SUCCESS
O-000304,C-00689,2025-06-22,1093000,SUCCESS
O-000305,C-00018,2025-06-30,206000,SUCCESS
O-000306,C-01774,2025-06-19,2195000,SUCCESS
O-000307,C-01405,2025-06-22,1639000,SUCCESS
O-000308,C-01382,2025-06-05,1906000,SUCCESS
O-000309,C-01870,2025-06-01,599000,SUCCESS
O-000310,C-01325,2025-06-21,2648000,SUCCESS
O-000311,C-01532,2025-06-14,2714000,SUCCESS
O-000312,C-01406,2025-06-04,3394000,SUCCESS
O-000313,C-00128,2025-06-17,2766000,SUCCESS
O-000314,C-01742,2025-06-17,3362000,SUCCESS
O-000315,C-00239,2025-06-09,3984000,SUCCESS
O-000316,C-01299,2025-06-13,4467000,FAILED
O-000317,C-00339,2025-06-02,345000,SUCCESS
O-000318,C-00786,2025-06-29,2017000,SUCCESS
O-000319,C-01488,2025-06-26,3102000,SUCCESS
O-000320,C-00124,2025-06-21,4519000,FAILED
O-000321,C-01665,2025-06-29,3249000,SUCCESS
O-000322,C-00141,2025-06-17,2584000,SUCCESS
O-000323,C-01650,2025-06-28,2644000,SUCCESS
O-000324,C-00754,2025-06-23,3365000,SUCCESS
O-000325,C-00870,2025-06-06,2276000,SUCCESS
O-000326,C-00387,2025-06-04,1345000,SUCCESS
O-000327,C-00178,2025-06-21,2008000,FAILED
O-000328,C-00956,2025-06-06,4265000,SUCCESS
O-000329,C-01580,2025-06-20,361000,SUCCESS
O-000330,C-01658,2025-06-17,2817000,SUCCESS
O-000331,C-00183,2025-06-21,2627000,SUCCESS
O-000332,C-01574,2025-06-06,4233000,SUCCESS
O-000333,C-00923,2025-06-14,3874000,SUCCESS
O-000334,C-00016,2025-06-02,4998000,SUCCESS
O-000335,C-01441,2025-06-11,1646000,SUCCESS
O-000336,C-00458,2025-06-26,2345000,SUCCESS
O-000337,C-01245,2025-06-07,1011000,SUCCESS
O-000338,C-00792,2025-06-07,4603000,SUCCESS
O-000339,C-00455,2025-06-07,816000,SUCCESS
O-000340,C-00149,2025-06-27,1612000,SUCCESS
O-000341,C-00142,2025-06-02,341000,SUCCESS
O-000342,C-01326,2025-06-01,3410000,SUCCESS
O-000343,C-00044,2025-06-14,2451000,SUCCESS
O-000344,C-00220,2025-06-15,3127000,SUCCESS
O-000345,C-01035,2025-06-02,2149000,SUCCESS
O-000346,C-00359,2025-06-15,961000,SUCCESS
O-000347,C-01758,2025-06-20,979000,FAILED
O-000348,C-01885,2025-06-06,1497000,SUCCESS
O-000349,C-00017,2025-06-21,2171000,FAILED
O-000350,C-01064,2025-06-10,3805000,SUCCESS
O-000351,C-01306,2025-06-08,365000,SUCCESS
O-000352,C-00792,2025-06-25,3606000,SUCCESS
O-000353,C-00838,2025-06-03,2191000,SUCCESS
O-000354,C-00504,2025-06-09,4441000,SUCCESS
O-000355,C-00268,2025-06-18,715000,SUCCESS
O-000356,C-00512,2025-06-27,3843000,SUCCESS
O-000357,C-01455,2025-06-21,4718000,SUCCESS
O-000358,C-00828,2025-06-08,4835000,SUCCESS
O-000359,C-01444,2025-06-12,2286000,SUCCESS
O-000360,C-01864,2025-06-28,4412000,SUCCESS
O-000361,C-01373,2025-06-11,1927000,SUCCESS
O-000362,C-00589,2025-06-04,1051000,SUCCESS
O-000363,C-01892,2025-06-22,1650000,SUCCESS
O-000364,C-01740,2025-06-21,3030000,SUCCESS
O-000365,C-00437,2025-06-04,2916000,SUCCESS
O-000366,C-00467,2025-06-05,868000,SUCCESS
O-000367,C-00286,2025-06-25,4185000,SUCCESS
O-000368,C-01622,2025-06-03,2450000,SUCCESS
O-000369,C-00292,2025-06-22,1854000,FAILED
O-000370,C-00285,2025-06-01,1950000,SUCCESS
O-000371,C-01027,2025-06-27,1799000,SUCCESS
O-000372,C-01178,2025-06-17,2201000,SUCCESS
O-000373,C-00948,2025-06-07,496000,SUCCESS
O-000374,C-01969,2025-06-30,4876000,SUCCESS
O-000375,C-00048,2025-06-01,371000,SUCCESS
O-000376,C-00144,2025-06-22,134000,SUCCESS
O-000377,C-00638,2025-06-27,3536000,SUCCESS
O-000378,C-00549,2025-06-24,4989000,SUCCESS
O-000379,C-00145,2025-06-30,622000,SUCCESS
O-000380,C-00164,2025-06-10,4007000,SUCCESS
O-000381,C-00537,2025-06-30,2971000,SUCCESS
O-000382,C-01189,2025-06-26,638000,SUCCESS
O-000383,C-00429,2025-06-02,3787000,SUCCESS
O-000384,C-01864,2025-06-17,2095000,FAILED
O-000385,C-01758,2025-06-30,4330000,SUCCESS
O-000386,C-01250,2025-06-25,588000,SUCCESS
O-000387,C-01748,2025-06-04,126000,SUCCESS
O-000388,C-00376,2025-06-07,1117000,SUCCESS
O-000389,C-00951,2025-06-23,2632000,SUCCESS
O-000390,C-00697,2025-06-06,3181000,SUCCESS
O-000391,C-01533,2025-06-18,1824000,SUCCESS
O-000392,C-01242,2025-06-01,4301000,SUCCESS
O-000393,C-00420,2025-06-11,1507000,SUCCESS
O-000394,C-01346,2025-06-04,3503000,SUCCESS
O-000395,C-00765,2025-06-21,2681000,SUCCESS
O-000396,C-00705,2025-06-06,678000,SUCCESS
O-000397,C-00868,2025-06-20,2738000,SUCCESS
O-000398,C-01816,2025-06-30,2447000,SUCCESS
O-000399,C-00146,2025-06-28,3831000,SUCCESS
O-000400,C-01218,2025-06-13,2998000,SUCCESS
O-000401,C-01381,2025-06-17,2523000,SUCCESS
O-000402,C-01346,2025-06-09,4734000,SUCCESS
O-000403,C-00389,2025-06-22,1170000,FAILED
O-000404,C-00999,2025-06-04,4478000,SUCCESS
O-000405,C-00065,2025-06-03,4412000,SUCCESS
O-000406,C-01592,2025-06-21,966000,SUCCESS
O-000407,C-01719,2025-06-01,553000,SUCCESS
O-000408,C-00110,2025-06-22,4313000,SUCCESS
O-000409,C-01047,2025-06-29,2865000,FAILED
O-000410,C-01283,2025-06-14,585000,SUCCESS
O-000411,C-01735,2025-06-16,3027000,SUCCESS
O-000412,C-00784,2025-06-01,1183000,SUCCESS
O-000413,C-00778,2025-06-01,1478000,SUCCESS
O-000414,C-00103,2025-06-08,2657000,SUCCESS
O-000415,C-00179,2025-06-25,2526000,SUCCESS
O-000416,C-00917,2025-06-26,1891000,SUCCESS
O-000417,C-00188,2025-06-03,229000,SUCCESS
O-000418,C-00298,2025-06-27,1723000,SUCCESS
O-000419,C-01134,2025-06-25,3271000,SUCCESS
O-000420,C-01670,2025-06-25,2359000,SUCCESS
O-000421,C-00577,2025-06-23,2300000,SUCCESS
O-000422,C-01877,2025-06-16,4559000,SUCCESS
O-000423,C-00202,2025-06-13,3332000,SUCCESS
O-000424,C-00991,2025-06-26,1010000,SUCCESS
O-000425,C-00279,2025-06-09,3254000,SUCCESS
O-000426,C-00243,2025-06-21,386000,SUCCESS
O-000427,C-00075,2025-06-10,1606000,SUCCESS
O-000428,C-01321,2025-06-19,3062000,SUCCESS
O-000429,C-01597,2025-06-15,3057000,FAILED
O-000430,C-01099,2025-06-03,4144000,SUCCESS
O-000431,C-00393,2025-06-05,3310000,SUCCESS
O-000432,C-01654,2025-06-02,1619000,SUCCESS
O-000433,C-01319,2025-06-08,600000,SUCCESS
O-000434,C-01409,2025-06-19,3084000,SUCCESS
O-000435,C-00293,2025-06-01,4650000,SUCCESS
O-000436,C-01471,2025-06-08,3083000,SUCCESS
O-000437,C-00446,2025-06-09,4009000,SUCCESS
O-000438,C-00618,2025-06-15,4368000,SUCCESS
O-000439,C-01773,2025-06-23,1014000,SUCCESS
O-000440,C-01856,2025-06-01,1910000,SUCCESS
O-000441,C-00508,2025-06-24,3715000,SUCCESS
O-000442,C-00799,2025-06-27,2001000,SUCCESS
O-000443,C-01527,2025-06-14,2977000,SUCCESS
O-000444,C-01177,2025-06-21,3019000,SUCCESS
O-000445,C-01405,2025-06-18,1558000,SUCCESS
O-000446,C-00957,2025-06-20,3208000,SUCCESS
O-000447,C-00951,2025-06-29,4509000,SUCCESS
O-000448,C-01309,2025-06-15,754000,SUCCESS
O-000449,C-00338,2025-06-17,3444000,SUCCESS
O-000450,C-00462,2025-06-03,2983000,SUCCESS
O-000451,C-01958,2025-06-26,843000,SUCCESS
O-000452,C-01611,2025-06-30,101000,SUCCESS
O-000453,C-00612,2025-06-19,4474000,SUCCESS
O-000454,C-01873,2025-06-16,4523000,SUCCESS
O-000455,C-01926,2025-06-13,3064000,SUCCESS
O-000456,C-00836,2025-06-20,241000,FAILED
O-000457,C-00891,2025-06-01,3793000,SUCCESS
O-000458,C-01736,2025-06-10,3705000,SUCCESS
O-000459,C-01478,2025-06-06,1785000,SUCCESS
O-000460,C-01500,2025-06-21,3874000,SUCCESS
O-000461,C-00194,2025-06-13,2155000,SUCCESS
O-000462,C-00164,2025-06-15,2917000,SUCCESS
O-000463,C-00141,2025-06-01,871000,SUCCESS
O-000464,C-00807,2025-06-07,4791000,FAILED
O-000465,C-00152,2025-06-18,3901000,SUCCESS
O-000466,C-01433,2025-06-17,4407000,SUCCESS
O-000467,C-00093,2025-06-19,2761000,SUCCESS
O-000468,C-01656,2025-06-15,2971000,SUCCESS
O-000469,C-01860,2025-06-14,633000,SUCCESS
O-000470,C-01988,2025-06-14,2654000,FAILED
O-000471,C-00072,2025-06-09,4634000,SUCCESS
O-000472,C-00083,2025-06-15,3046000,SUCCESS
O-000473,C-01089,2025-06-08,3237000,SUCCESS
O-000474,C-00926,2025-06-02,4569000,SUCCESS
O-000475,C-00914,2025-06-26,562000,FAILED
O-000476,C-00749,2025-06-18,4224000,FAILED
O-000477,C-01848,2025-06-22,1837000,SUCCESS
O-000478,C-00550,2025-06-17,3886000,FAILED
O-000479,C-01125,2025-06-14,4222000,SUCCESS
O-000480,C-01353,2025-06-02,3808000,SUCCESS
O-000481,C-00927,2025-06-14,4565000,FAILED
O-000482,C-01640,2025-06-20,2766000,SUCCESS
O-000483,C-01726,2025-06-05,3183000,SUCCESS
O-000484,C-00951,2025-06-16,3683000,SUCCESS
O-000485,C-00639,2025-06-08,1900000,SUCCESS
O-000486,C-01604,2025-06-29,1811000,SUCCESS
O-000487,C-01623,2025-06-28,2792000,SUCCESS
O-000488,C-00163,2025-06-06,1729000,SUCCESS
O-000489,C-00158,2025-06-07,3047000,SUCCESS
O-000490,C-00153,2025-06-07,2181000,SUCCESS
O-000491,C-00565,2025-06-10,1231000,SUCCESS
O-000492,C-01391,2025-06-22,2040000,SUCCESS
O-000493,C-00842,2025-06-04,3528000,SUCCESS
O-000494,C-01321,2025-06-29,610000,SUCCESS
O-000495,C-00925,2025-06-15,4292000,SUCCESS
O-000496,C-00319,2025-06-28,1185000,SUCCESS
O-000497,C-00460,2025-06-12,2809000,SUCCESS
O-000498,C-00526,2025-06-24,4073000,SUCCESS
O-000499,C-01737,2025-06-26,2369000,SUCCESS
O-000500,C-00786,2025-06-26,923000,SUCCESS
O-000501,C-00708,2025-06-10,2675000,SUCCESS
O-000502,C-00314,2025-06-30,4691000,SUCCESS
O-000503,C-00045,2025-06-15,2092000,FAILED
O-000504,C-01834,2025-06-14,1605000,SUCCESS
