itemId,productId,eventId,productName,originalPrice,salePrice,initialStock,soldQty,remainingStock,version
FI-00031,P-00038,EV-006,Apple Sac Du Phong Premium,1666000,983189,142,0,142,0
FI-00032,P-04344,EV-006,Anker Laptop Plus,1005000,332104,74,0,74,0
FI-00033,P-02362,EV-005,Anker Dong Ho Premium,2853000,1232981,194,0,194,0
FI-00034,P-01189,EV-001,Apple May Anh Sport,724000,318641,56,0,56,0
FI-00035,P-04577,EV-002,HP Kinh Mat XL,1744000,683939,85,0,85,0
FI-00036,P-03150,EV-007,Sony Ban Phim V2,1488000,791669,5,0,5,0
FI-00037,P-01626,EV-002,Sony Tai Nghe Pro Max,2265000,818458,188,0,188,0
FI-00038,P-01665,EV-005,Xiaomi Op Lung Ultra,2508000,1545420,102,0,102,0
FI-00039,P-02627,EV-002,Samsung Tablet Sport,769000,335789,169,0,169,0
FI-00040,P-01481,EV-002,Sony Kinh Mat Ultra,1926000,868509,11,0,11,0
FI-00041,P-03180,EV-010,Xiaomi Balo Mini,2816000,862926,49,0,49,0
FI-00042,P-00768,EV-006,HP Dong Ho Pro Max,1994000,1252729,167,0,167,0
FI-00043,P-04599,EV-004,Logitech Op Lung Classic,2894000,1168020,184,0,184,0
FI-00044,P-02518,EV-010,Xiaomi Giay Premium,2126000,1463514,176,0,176,0
FI-00045,P-00425,EV-008,Logitech Webcam Pro Max,1454000,854557,124,0,124,0
FI-00046,P-01695,EV-001,Xiaomi Op Lung Lite,1683000,741815,65,0,65,0
FI-00047,P-04975,EV-003,Xiaomi Monitor Sport,2268000,1515196,85,0,85,0
FI-00048,P-02918,EV-008,Apple Tai Nghe Sport,2439000,1038152,40,0,40,0
FI-00049,P-03780,EV-005,HP Tablet Classic,1924000,1267179,141,0,141,0
FI-00050,P-02578,EV-001,Asus Sac Du Phong Premium,2105000,818176,18,0,18,0
FI-00051,P-02909,EV-002,Samsung USB Hub Lite,2622000,1488504,81,0,81,0
FI-00052,P-02423,EV-007,Anker Giay Ultra,2671000,1673995,14,0,14,0
FI-00053,P-04895,EV-004,Logitech Op Lung Mini,861000,540992,84,0,84,0
FI-00054,P-01184,EV-004,JBL Cap Sac Sport,1084000,621933,82,0,82,0
FI-00055,P-03179,EV-010,JBL Op Lung XL,1422000,691994,195,0,195,0
FI-00056,P-02782,EV-001,Logitech Tablet V2,2646000,1090450,84,0,84,0
FI-00057,P-03183,EV-010,Asus Sac Du Phong V2,2163000,1422726,90,0,90,0
FI-00058,P-04417,EV-002,Apple Cap Sac Ultra,2680000,1085546,179,0,179,0
FI-00059,P-00663,EV-008,Razer Loa V2,1745000,801189,139,0,139,0
FI-00060,P-02228,EV-008,Samsung Ao Thun Plus,2179000,748631,140,0,140,0
FI-00061,P-00566,EV-007,Xiaomi Webcam Sport,2270000,1192265,78,0,78,0
FI-00062,P-00446,EV-004,Xiaomi Laptop V2,591000,406717,7,0,7,0
FI-00063,P-00679,EV-003,Samsung Ban Phim Pro Max,421000,267981,178,0,178,0
FI-00064,P-00886,EV-010,Xiaomi Sac Du Phong Lite,565000,376808,48,0,48,0
FI-00065,P-03138,EV-004,Samsung Kinh Mat Mini,1385000,632139,105,0,105,0
FI-00066,P-04729,EV-009,Samsung Chuot Gaming XL,1880000,1090482,198,0,198,0
FI-00067,P-03191,EV-002,Samsung Webcam XL,1650000,685100,89,0,89,0
FI-00068,P-00749,EV-006,Samsung Cap Sac Classic,1478000,855257,57,0,57,0
FI-00069,P-04843,EV-002,Xiaomi Op Lung XL,507000,264795,14,0,14,0
FI-00070,P-04588,EV-006,Anker Ong Nhom Classic,1713000,603567,103,0,103,0
FI-00071,P-02919,EV-006,Apple Op Lung Lite,976000,477235,73,0,73,0
FI-00072,P-03796,EV-002,Logitech Sac Du Phong Classic,2765000,868179,147,0,147,0
FI-00073,P-04031,EV-005,Logitech Kinh Mat Pro Max,1541000,510351,90,0,90,0
FI-00074,P-01161,EV-009,JBL Sac Du Phong V2,1015000,653815,158,0,158,0
FI-00075,P-01411,EV-001,Apple Dong Ho Sport,2454000,902744,64,0,64,0
FI-00076,P-04593,EV-008,Logitech Cap Sac V2,480000,239032,36,0,36,0
FI-00077,P-01172,EV-008,Razer Tai Nghe V2,2119000,1221049,103,0,103,0
FI-00078,P-00162,EV-010,Sony May Anh Plus,128000,68417,8,0,8,0
FI-00079,P-03021,EV-006,Anker Ban Phim Lite,1148000,684783,81,0,81,0
FI-00080,P-00304,EV-002,Asus Balo Pro Max,2435000,872342,136,0,136,0
FI-00081,P-03131,EV-008,JBL Dong Ho V2,1469000,655175,122,0,122,0
FI-00082,P-02570,EV-005,Sony Cap Sac Lite,2834000,932339,121,0,121,0
FI-00083,P-04847,EV-004,Anker Sac Du Phong Mini,2367000,966451,32,0,32,0
FI-00084,P-04634,EV-002,Logitech Webcam Plus,821000,383059,199,0,199,0
FI-00085,P-04021,EV-003,Apple Ban Phim V2,416000,152471,126,0,126,0
FI-00086,P-00679,EV-008,Apple Tablet Premium,189000,81161,29,0,29,0
FI-00087,P-00767,EV-002,Anker Ao Thun V2,113000,75524,138,0,138,0
FI-00088,P-02852,EV-003,Xiaomi Ong Nhom Plus,2634000,1734929,138,0,138,0
FI-00089,P-03288,EV-003,Sony Cap Sac Plus,1771000,734990,79,0,79,0
FI-00090,P-04901,EV-007,Apple Sac Du Phong Mini,2761000,1778196,176,0,176,0
FI-00091,P-01523,EV-002,Logitech Kinh Mat Ultra,2829000,1940257,127,0,127,0
FI-00092,P-02718,EV-003,Apple USB Hub Plus,2664000,1266189,85,0,85,0
FI-00093,P-02244,EV-001,Anker Dong Ho V2,843000,531238,159,0,159,0
FI-00094,P-01619,EV-010,HP Quat Mini Classic,2444000,966100,70,0,70,0
FI-00095,P-04638,EV-008,Asus Kinh Mat Classic,1939000,1198705,43,0,43,0
FI-00096,P-01011,EV-005,Xiaomi Kinh Mat Classic,842000,568133,138,0,138,0
FI-00097,P-02135,EV-008,Anker USB Hub Mini,1088000,371391,150,0,150,0
FI-00098,P-03823,EV-008,Xiaomi Op Lung Premium,2596000,1807205,106,0,106,0
FI-00099,P-01304,EV-008,Sony May Anh Plus,2253000,771776,81,0,81,0
FI-00100,P-01734,EV-002,Anker Ong Nhom Ultra,641000,311260,9,0,9,0
FI-00101,P-02979,EV-002,Anker Webcam XL,2593000,904141,71,0,71,0
FI-00102,P-00529,EV-002,Logitech Loa Ultra,590000,407307,38,0,38,0
FI-00103,P-02651,EV-003,Logitech Dong Ho Pro Max,632000,275567,47,0,47,0
FI-00104,P-03714,EV-005,Sony Balo Ultra,862000,259082,86,0,86,0
FI-00105,P-03146,EV-006,JBL Laptop Premium,1887000,582149,63,0,63,0
FI-00106,P-01698,EV-008,Samsung Giay Premium,2012000,1188154,17,0,17,0
FI-00107,P-02951,EV-007,JBL Giay XL,947000,459450,10,0,10,0
FI-00108,P-00276,EV-010,Sony Ong Nhom Ultra,914000,599847,72,0,72,0
FI-00109,P-03153,EV-001,Anker Ong Nhom Classic,1985000,819891,103,0,103,0
FI-00110,P-01535,EV-002,Apple Monitor Mini,1017000,608374,95,0,95,0
FI-00111,P-04437,EV-007,Asus Quat Mini Ultra,422000,141578,148,0,148,0
FI-00112,P-04611,EV-009,Razer Dong Ho Mini,485000,194190,175,0,175,0
FI-00113,P-01916,EV-009,Samsung Webcam Plus,771000,463231,112,0,112,0
FI-00114,P-03319,EV-008,HP Giay Premium,2526000,1648509,35,0,35,0
FI-00115,P-02940,EV-009,Sony Tablet Mini,1402000,975675,162,0,162,0
FI-00116,P-04551,EV-006,Xiaomi Balo Sport,1836000,581241,167,0,167,0
FI-00117,P-02274,EV-006,JBL Sac Du Phong Classic,2163000,1068080,180,0,180,0
FI-00118,P-04337,EV-008,Xiaomi Laptop Sport,1558000,982917,26,0,26,0
FI-00119,P-01934,EV-007,Apple Chuot Gaming Ultra,252000,82819,74,0,74,0
FI-00120,P-04456,EV-001,Xiaomi May Anh Lite,287000,103312,51,0,51,0
FI-00121,P-04454,EV-002,HP Op Lung Lite,2388000,1503683,32,0,32,0
FI-00122,P-01414,EV-007,JBL Ban Phim Premium,1489000,758822,176,0,176,0
FI-00123,P-02697,EV-009,Sony Tablet Ultra,2545000,1740407,18,0,18,0
FI-00124,P-01973,EV-004,Anker Sac Du Phong Plus,621000,403085,65,0,65,0
FI-00125,P-04950,EV-006,Xiaomi May Anh Premium,855000,292857,199,0,199,0
FI-00126,P-03424,EV-001,Sony Quat Mini Ultra,2901000,1736945,188,0,188,0
FI-00127,P-01933,EV-005,Razer Dong Ho V2,2935000,1406490,15,0,15,0
FI-00128,P-03388,EV-007,HP Tablet Ultra,2989000,1397300,187,0,187,0
FI-00129,P-01061,EV-007,Anker Kinh Mat Lite,706000,453224,82,0,82,0
FI-00130,P-01368,EV-002,JBL Cap Sac Plus,1225000,576983,80,0,80,0
FI-00131,P-00260,EV-009,Samsung Giay Mini,2416000,913534,148,0,148,0
FI-00132,P-04256,EV-008,Asus Tablet XL,2404000,1315601,174,0,174,0
FI-00133,P-04230,EV-006,Xiaomi Op Lung Ultra,1159000,523131,127,0,127,0
FI-00134,P-01584,EV-003,Anker Ao Thun Ultra,2100000,916043,187,0,187,0
FI-00135,P-00820,EV-003,Xiaomi Kinh Mat V2,576000,222485,52,0,52,0
FI-00136,P-03058,EV-003,JBL Cap Sac XL,2045000,1305267,108,0,108,0
FI-00137,P-01979,EV-006,Samsung Ong Nhom V2,579000,224212,79,0,79,0
FI-00138,P-01858,EV-004,Asus Quat Mini Sport,1188000,649663,26,0,26,0
FI-00139,P-04688,EV-003,HP Tablet Mini,2877000,1912749,80,0,80,0
FI-00140,P-01160,EV-001,HP Ban Phim Lite,1415000,581536,23,0,23,0
FI-00141,P-00001,EV-005,Logitech Ao Thun Ultra,2742000,1911534,138,0,138,0
FI-00142,P-02247,EV-002,Apple Ong Nhom Classic,425000,158330,104,0,104,0
FI-00143,P-04633,EV-002,Xiaomi Tablet Plus,2654000,1458929,188,0,188,0
FI-00144,P-02305,EV-007,HP Kinh Mat Pro Max,357000,249005,144,0,144,0
FI-00145,P-02899,EV-002,HP USB Hub Mini,1328000,823976,13,0,13,0
FI-00146,P-01951,EV-008,Razer Tablet Ultra,342000,185768,184,0,184,0
FI-00147,P-03806,EV-009,Samsung Op Lung V2,2115000,1415283,162,0,162,0
FI-00148,P-01754,EV-009,Logitech Monitor Mini,2060000,710034,73,0,73,0
FI-00149,P-00253,EV-008,Apple Kinh Mat Lite,1043000,517940,46,0,46,0
FI-00150,P-04033,EV-003,Sony Tai Nghe Lite,195000,65620,147,0,147,0
FI-00151,P-04473,EV-007,Anker Balo Classic,2634000,972659,52,0,52,0
FI-00152,P-03163,EV-003,Razer Dong Ho Classic,2076000,694559,143,0,143,0
FI-00153,P-02595,EV-005,Asus Ong Nhom XL,2564000,1580665,75,0,75,0
FI-00154,P-02307,EV-010,Logitech USB Hub Mini,1428000,533136,10,0,10,0
FI-00155,P-04232,EV-010,JBL Tablet V2,512000,196593,39,0,39,0
FI-00156,P-02946,EV-010,Sony Laptop Plus,2984000,1556821,164,0,164,0
FI-00157,P-03789,EV-010,HP Chuot Gaming XL,2520000,1258572,144,0,144,0
FI-00158,P-03112,EV-004,JBL Tablet Ultra,946000,552702,67,0,67,0
FI-00159,P-00324,EV-004,JBL Giay XL,2531000,1084161,11,0,11,0
FI-00160,P-00786,EV-005,JBL Dong Ho XL,2810000,1527581,97,0,97,0
FI-00161,P-04260,EV-006,Logitech Ong Nhom Premium,2984000,1710227,47,0,47,0
FI-00162,P-02120,EV-006,JBL Kinh Mat Mini,2045000,1277098,146,0,146,0
FI-00163,P-00642,EV-008,Sony Giay XL,2824000,979604,57,0,57,0
FI-00164,P-01751,EV-008,Asus Ong Nhom XL,1029000,390420,23,0,23,0
FI-00165,P-04140,EV-007,JBL Dong Ho XL,1096000,378768,85,0,85,0
FI-00166,P-03682,EV-003,Sony Quat Mini Mini,1142000,501484,22,0,22,0
FI-00167,P-03087,EV-005,Apple Quat Mini Mini,2372000,983274,151,0,151,0
FI-00168,P-02227,EV-005,Anker Monitor Classic,2346000,1088553,171,0,171,0
FI-00169,P-03867,EV-008,HP Op Lung Classic,2966000,2014940,104,0,104,0
FI-00170,P-02237,EV-008,Asus Dong Ho Classic,1233000,392421,54,0,54,0
FI-00171,P-02653,EV-002,Logitech Tablet XL,1614000,915282,91,0,91,0
FI-00172,P-04555,EV-010,Samsung May Anh Premium,971000,590848,23,0,23,0
FI-00173,P-01891,EV-010,Razer Laptop Lite,147000,46058,121,0,121,0
FI-00174,P-01566,EV-007,Razer USB Hub Lite,559000,297906,178,0,178,0
FI-00175,P-01837,EV-006,Razer Op Lung Sport,1040000,549260,122,0,122,0
FI-00176,P-03505,EV-003,Sony Quat Mini Plus,413000,179575,171,0,171,0
FI-00177,P-03356,EV-004,JBL Sac Du Phong Pro Max,568000,184555,154,0,154,0
FI-00178,P-02655,EV-009,Samsung Tablet Pro Max,460000,232117,90,0,90,0
FI-00179,P-00167,EV-009,JBL May Anh Ultra,284000,171407,177,0,177,0
FI-00180,P-00478,EV-002,HP Giay Pro Max,2087000,837408,195,0,195,0
FI-00181,P-00658,EV-008,Anker Ao Thun Premium,171000,65791,186,0,186,0
FI-00182,P-03070,EV-006,Anker Ban Phim XL,2910000,1272284,96,0,96,0
FI-00183,P-01588,EV-003,Logitech Ao Thun Mini,882000,291475,145,0,145,0
FI-00184,P-01073,EV-004,JBL Giay Premium,812000,469014,36,0,36,0
FI-00185,P-03323,EV-006,JBL Op Lung Mini,293000,184138,58,0,58,0
FI-00186,P-04719,EV-010,Anker Laptop V2,742000,317549,156,0,156,0
FI-00187,P-00188,EV-003,Anker Balo Mini,2693000,1066912,84,0,84,0
FI-00188,P-02319,EV-001,Razer Ban Phim Ultra,155000,80964,40,0,40,0
FI-00189,P-00316,EV-009,Logitech Quat Mini V2,2859000,1015940,5,0,5,0
FI-00190,P-04803,EV-002,HP Loa Ultra,2743000,1300279,191,0,191,0
FI-00191,P-01738,EV-002,Anker Monitor XL,1285000,878081,69,0,69,0
FI-00192,P-01682,EV-006,Razer USB Hub V2,1167000,375031,86,0,86,0
FI-00193,P-01258,EV-003,Razer Loa Mini,762000,274359,87,0,87,0
FI-00194,P-02384,EV-002,Samsung USB Hub Premium,1701000,518511,11,0,11,0
FI-00195,P-03049,EV-004,Apple May Anh Plus,296000,104055,197,0,197,0
FI-00196,P-00312,EV-001,Xiaomi Cap Sac V2,2376000,1108180,110,0,110,0
FI-00197,P-02269,EV-001,Anker USB Hub Pro Max,1089000,341963,138,0,138,0
FI-00198,P-03602,EV-010,Anker Op Lung Ultra,441000,262413,173,0,173,0
FI-00199,P-00380,EV-010,Apple Giay Premium,718000,381449,19,0,19,0
FI-00200,P-03350,EV-001,Apple Sac Du Phong Sport,2090000,801829,117,0,117,0
FI-00201,P-00637,EV-005,Logitech Loa Plus,1213000,770611,136,0,136,0
FI-00202,P-02151,EV-008,Razer May Anh V2,2177000,983167,198,0,198,0
FI-00203,P-03676,EV-009,Razer Cap Sac Classic,1303000,631411,26,0,26,0
FI-00204,P-00586,EV-008,Apple Laptop V2,2354000,1097640,105,0,105,0
FI-00205,P-03241,EV-009,Logitech Laptop Sport,1304000,678269,181,0,181,0
FI-00206,P-04227,EV-008,Sony Sac Du Phong Plus,2350000,1217289,185,0,185,0
FI-00207,P-02851,EV-006,Apple Webcam Ultra,983000,371796,152,0,152,0
FI-00208,P-00676,EV-005,Xiaomi May Anh XL,2635000,1112394,18,0,18,0
FI-00209,P-02885,EV-007,Logitech Kinh Mat Lite,1519000,998238,129,0,129,0
FI-00210,P-02272,EV-007,Razer Op Lung Plus,639000,384753,46,0,46,0
FI-00211,P-00159,EV-006,Xiaomi Webcam Mini,2635000,1365166,114,0,114,0
FI-00212,P-02602,EV-004,Sony Cap Sac V2,294000,122420,121,0,121,0
FI-00213,P-00165,EV-001,HP Laptop Mini,1362000,823236,158,0,158,0
FI-00214,P-00525,EV-010,Logitech Loa XL,1298000,791566,89,0,89,0
FI-00215,P-00281,EV-010,Sony May Anh Premium,414000,169791,138,0,138,0
FI-00216,P-02397,EV-002,Samsung Ban Phim Pro Max,610000,287101,169,0,169,0
FI-00217,P-01680,EV-002,Samsung Chuot Gaming Lite,2109000,1017295,49,0,49,0
FI-00218,P-03278,EV-008,Xiaomi May Anh Lite,2486000,1375842,66,0,66,0
FI-00219,P-02681,EV-007,Anker Cap Sac Premium,208000,112581,62,0,62,0
FI-00220,P-01907,EV-006,HP Ong Nhom Lite,2334000,1574990,97,0,97,0
FI-00221,P-03147,EV-002,Anker USB Hub Ultra,1844000,958646,131,0,131,0
FI-00222,P-04461,EV-002,Anker Webcam XL,1921000,586462,184,0,184,0
FI-00223,P-01991,EV-009,Logitech Op Lung Plus,1239000,637953,93,0,93,0
FI-00224,P-00901,EV-009,HP Tablet Lite,1512000,564528,115,0,115,0
FI-00225,P-00616,EV-005,JBL USB Hub XL,1141000,557471,168,0,168,0
FI-00226,P-04105,EV-010,Samsung Kinh Mat Lite,2386000,1382774,88,0,88,0
FI-00227,P-02762,EV-007,Xiaomi Chuot Gaming Sport,1973000,649307,66,0,66,0
FI-00228,P-01466,EV-004,Logitech Loa Lite,1470000,894344,112,0,112,0
FI-00229,P-03367,EV-002,HP Balo Sport,284000,161752,110,0,110,0
FI-00230,P-02098,EV-008,HP Kinh Mat Mini,402000,221153,89,0,89,0
FI-00231,P-00184,EV-008,Xiaomi Cap Sac XL,1148000,403614,105,0,105,0
FI-00232,P-04157,EV-004,Logitech Ban Phim Mini,1256000,416857,64,0,64,0
FI-00233,P-02042,EV-005,Asus Webcam Lite,1806000,938149,171,0,171,0
FI-00234,P-03382,EV-004,Logitech Laptop V2,1990000,1097428,112,0,112,0
FI-00235,P-01315,EV-010,Razer Cap Sac Sport,1919000,621991,43,0,43,0
FI-00236,P-02353,EV-006,Logitech Balo Pro Max,2380000,1059344,198,0,198,0
FI-00237,P-03590,EV-006,Sony Balo Classic,1614000,545137,74,0,74,0
FI-00238,P-00665,EV-005,Razer Dong Ho Lite,1236000,566255,47,0,47,0
FI-00239,P-00609,EV-007,Samsung Kinh Mat V2,1590000,826882,39,0,39,0
FI-00240,P-02977,EV-006,Apple Op Lung Premium,2738000,1584596,54,0,54,0
FI-00241,P-01030,EV-002,Logitech Giay V2,502000,292944,36,0,36,0
FI-00242,P-04482,EV-004,JBL May Anh Plus,2504000,1009920,65,0,65,0
FI-00243,P-04156,EV-001,Razer Ban Phim Classic,703000,409124,179,0,179,0
FI-00244,P-02391,EV-010,JBL Giay XL,483000,240144,195,0,195,0
FI-00245,P-00716,EV-009,Apple USB Hub Pro Max,1474000,664819,69,0,69,0
FI-00246,P-00712,EV-006,Logitech Ong Nhom Premium,2995000,1409939,113,0,113,0
FI-00247,P-04839,EV-006,Samsung May Anh Ultra,2124000,813242,124,0,124,0
FI-00248,P-03148,EV-002,Asus Tablet Premium,598000,413495,173,0,173,0
FI-00249,P-03256,EV-004,Logitech Giay Classic,1851000,1266151,152,0,152,0
FI-00250,P-04345,EV-006,Xiaomi Kinh Mat Mini,491000,335322,182,0,182,0
FI-00251,P-01933,EV-007,Xiaomi Monitor Sport,1353000,652738,29,0,29,0
FI-00252,P-01463,EV-001,Razer Quat Mini Ultra,364000,116409,145,0,145,0
FI-00253,P-03416,EV-010,Razer Quat Mini V2,2617000,1035468,118,0,118,0
FI-00254,P-02618,EV-007,Sony Balo Classic,1816000,742237,44,0,44,0
FI-00255,P-03290,EV-008,Anker Tai Nghe Mini,936000,553145,78,0,78,0
FI-00256,P-02946,EV-005,Asus Giay Mini,1634000,590735,180,0,180,0
FI-00257,P-04608,EV-003,Asus Tai Nghe Pro Max,1681000,1102167,104,0,104,0
FI-00258,P-01475,EV-006,Xiaomi Dong Ho Plus,2405000,1025784,165,0,165,0
FI-00259,P-00393,EV-008,HP Dong Ho V2,1786000,906510,73,0,73,0
FI-00260,P-03046,EV-007,Anker Dong Ho Pro Max,1779000,833789,35,0,35,0
FI-00261,P-04692,EV-007,Logitech Loa Classic,2991000,1550106,74,0,74,0
FI-00262,P-04706,EV-002,Sony Ong Nhom Ultra,435000,219392,69,0,69,0
FI-00263,P-04492,EV-001,Xiaomi Webcam Plus,1059000,491837,125,0,125,0
FI-00264,P-00381,EV-003,Sony Giay V2,1062000,352547,20,0,20,0
FI-00265,P-00037,EV-005,Xiaomi Laptop V2,2185000,1279372,17,0,17,0
FI-00266,P-01755,EV-010,Xiaomi USB Hub Plus,2125000,1054280,113,0,113,0
FI-00267,P-00034,EV-002,Asus Tablet Sport,1317000,906457,37,0,37,0
FI-00268,P-01886,EV-003,Sony Webcam Pro Max,1360000,572883,129,0,129,0
FI-00269,P-04228,EV-002,Logitech Quat Mini Plus,2482000,1081653,150,0,150,0
FI-00270,P-03799,EV-010,Xiaomi Op Lung Lite,928000,374912,14,0,14,0
FI-00271,P-00065,EV-005,Apple Balo Sport,1866000,896485,29,0,29,0
FI-00272,P-02840,EV-002,Xiaomi Cap Sac Pro Max,2412000,766663,123,0,123,0
FI-00273,P-01930,EV-001,Xiaomi Sac Du Phong XL,1574000,777877,160,0,160,0
FI-00274,P-00226,EV-004,HP May Anh XL,2436000,1508296,50,0,50,0
FI-00275,P-00387,EV-007,Apple Kinh Mat Ultra,625000,263232,150,0,150,0
FI-00276,P-01433,EV-004,Apple Sac Du Phong Plus,203000,65966,56,0,56,0
FI-00277,P-01505,EV-008,Xiaomi Tablet Sport,1811000,1054029,153,0,153,0
FI-00278,P-02792,EV-006,Xiaomi Dong Ho Plus,1620000,695615,19,0,19,0
FI-00279,P-04604,EV-008,Logitech Cap Sac Mini,1420000,879413,72,0,72,0
FI-00280,P-04046,EV-005,Asus Op Lung Lite,2644000,1120244,142,0,142,0
FI-00281,P-00822,EV-006,JBL Kinh Mat Mini,2048000,929452,148,0,148,0
FI-00282,P-00138,EV-003,Razer Loa Classic,1897000,889489,189,0,189,0
FI-00283,P-02415,EV-009,Razer Kinh Mat Lite,811000,370651,17,0,17,0
FI-00284,P-03006,EV-008,Sony Monitor Pro Max,1309000,441506,137,0,137,0
FI-00285,P-01006,EV-010,Apple May Anh Mini,2164000,1117374,30,0,30,0
FI-00286,P-03260,EV-001,JBL Sac Du Phong Sport,1497000,1028523,57,0,57,0
FI-00287,P-04733,EV-006,JBL Tablet Mini,498000,309157,152,0,152,0
FI-00288,P-02591,EV-007,Razer Quat Mini Lite,1884000,1265573,53,0,53,0
FI-00289,P-03996,EV-007,Anker Monitor Classic,2692000,1129815,123,0,123,0
FI-00290,P-03072,EV-009,Apple Kinh Mat XL,2171000,922774,158,0,158,0
FI-00291,P-04831,EV-007,HP Laptop Premium,312000,113120,163,0,163,0
FI-00292,P-00119,EV-007,Apple Loa V2,2251000,1397718,200,0,200,0
FI-00293,P-02188,EV-004,HP Dong Ho Premium,2884000,1506157,125,0,125,0
FI-00294,P-02123,EV-004,HP Sac Du Phong Mini,133000,68483,93,0,93,0
FI-00295,P-01284,EV-005,Apple Ong Nhom Pro Max,520000,156925,92,0,92,0
FI-00296,P-04488,EV-007,Samsung Op Lung V2,847000,470438,18,0,18,0
FI-00297,P-03549,EV-008,Samsung Tai Nghe Plus,1286000,452469,32,0,32,0
FI-00298,P-02847,EV-004,JBL Balo Ultra,1173000,649422,152,0,152,0
FI-00299,P-01613,EV-001,Anker Ao Thun Plus,383000,175035,115,0,115,0
FI-00300,P-04989,EV-009,Apple Ao Thun XL,889000,318980,191,0,191,0
FI-00301,P-02119,EV-001,HP Kinh Mat Mini,1115000,358267,125,0,125,0
FI-00302,P-00956,EV-010,Anker May Anh Premium,123000,55967,112,0,112,0
FI-00303,P-03900,EV-002,Asus Laptop XL,2827000,1659672,161,0,161,0
FI-00304,P-03861,EV-003,Anker Dong Ho V2,2216000,1399808,44,0,44,0
FI-00305,P-04163,EV-007,HP Laptop Premium,2379000,1197578,132,0,132,0
FI-00306,P-01898,EV-002,JBL Sac Du Phong Lite,1165000,518408,63,0,63,0
FI-00307,P-00896,EV-006,HP Quat Mini Lite,620000,325573,50,0,50,0
FI-00308,P-04231,EV-005,JBL May Anh Classic,2947000,1923002,159,0,159,0
FI-00309,P-02641,EV-008,Logitech Ban Phim Classic,2515000,1081072,108,0,108,0
FI-00310,P-01018,EV-006,Logitech Op Lung Ultra,1917000,1230034,123,0,123,0
FI-00311,P-03365,EV-002,Samsung Ao Thun XL,2190000,886965,190,0,190,0
FI-00312,P-04213,EV-009,Xiaomi Tai Nghe Classic,1008000,672050,197,0,197,0
FI-00313,P-02781,EV-002,Samsung Tai Nghe Lite,1784000,1163128,26,0,26,0
FI-00314,P-02522,EV-007,Sony Chuot Gaming Sport,1727000,1120778,129,0,129,0
FI-00315,P-00188,EV-010,Asus Loa Classic,478000,242861,122,0,122,0
FI-00316,P-01454,EV-006,HP Tai Nghe Sport,425000,284162,183,0,183,0
FI-00317,P-02611,EV-003,Samsung Sac Du Phong Lite,1571000,918010,58,0,58,0
