productId,name,brand,category,price,stock,description,version
P-00113,JBL Tablet Lite,JBL,Tablet,4100000,62,San pham chat luong cao,0
P-00114,Anker Loa XL,Anker,Loa,95000,156,San pham chat luong cao,0
P-00115,Asus Dong Ho Mini,Asus,Dong Ho,1841000,365,San pham chat luong cao,0
P-00116,Anker USB Hub XL,Anker,USB Hub,1332000,34,San pham chat luong cao,0
P-00117,Xiaomi May Anh Mini,Xiaomi,May Anh,3676000,29,San pham chat luong cao,0
P-00118,HP Ban Phim XL,HP,Ban Phim,709000,136,San pham chat luong cao,0
P-00119,HP Laptop Pro Max,HP,Laptop,2209000,232,San pham chat luong cao,0
P-00120,Samsung Quat Mini Classic,Samsung,Quat Mini,909000,366,San pham chat luong cao,0
P-00121,Anker Cap Sac Lite,Anker,Cap Sac,2918000,72,San pham chat luong cao,0
P-00122,Asus Ban Phim Mini,Asus,Ban Phim,2295000,411,San pham chat luong cao,0
P-00123,Asus May Anh Mini,Asus,May Anh,4814000,185,San pham chat luong cao,0
P-00124,JBL Giay Plus,JBL,Giay,207000,139,San pham chat luong cao,0
P-00125,HP USB Hub Pro Max,HP,USB Hub,2790000,61,San pham chat luong cao,0
P-00126,Samsung May Anh Mini,Samsung,May Anh,887000,184,San pham chat luong cao,0
P-00127,Razer Chuot Gaming Plus,Razer,Chuot Gaming,892000,94,San pham chat luong cao,0
P-00128,JBL Kinh Mat Pro Max,JBL,Kinh Mat,1466000,500,San pham chat luong cao,0
P-00129,Xiaomi Tablet XL,Xiaomi,Tablet,3031000,311,San pham chat luong cao,0
P-00130,Xiaomi Ong Nhom Ultra,Xiaomi,Ong Nhom,2904000,221,San pham chat luong cao,0
P-00131,Xiaomi Ao Thun XL,Xiaomi,Ao Thun,3986000,81,San pham chat luong cao,0
P-00132,Razer Giay XL,Razer,Giay,4938000,453,San pham chat luong cao,0
P-00133,Samsung USB Hub Ultra,Samsung,USB Hub,3895000,82,San pham chat luong cao,0
P-00134,Logitech Tai Nghe Plus,Logitech,Tai Nghe,1814000,481,San pham chat luong cao,0
P-00135,Logitech Tai Nghe V2,Logitech,Tai Nghe,4494000,363,San pham chat luong cao,0
P-00136,Anker Tablet Plus,Anker,Tablet,103000,81,San pham chat luong cao,0
P-00137,Samsung Quat Mini V2,Samsung,Quat Mini,2711000,115,San pham chat luong cao,0
P-00138,Xiaomi Tablet Plus,Xiaomi,Tablet,680000,444,San pham chat luong cao,0
P-00139,Samsung Op Lung XL,Samsung,Op Lung,2268000,160,San pham chat luong cao,0
P-00140,Razer Tablet V2,Razer,Tablet,1572000,335,San pham chat luong cao,0
P-00141,Asus Chuot Gaming Pro Max,Asus,Chuot Gaming,2580000,285,San pham chat luong cao,0
P-00142,Apple Webcam Plus,Apple,Webcam,1176000,74,San pham chat luong cao,0
P-00143,HP Quat Mini XL,HP,Quat Mini,418000,62,San pham chat luong cao,0
P-00144,Xiaomi USB Hub Lite,Xiaomi,USB Hub,3626000,210,San pham chat luong cao,0
P-00145,Razer Monitor Premium,Razer,Monitor,4828000,259,San pham chat luong cao,0
P-00146,Anker Dong Ho Pro Max,Anker,Dong Ho,3222000,151,San pham chat luong cao,0
P-00147,Logitech Tablet Mini,Logitech,Tablet,4398000,28,San pham chat luong cao,0
P-00148,JBL Ong Nhom Premium,JBL,Ong Nhom,3562000,36,San pham chat luong cao,0
P-00149,Xiaomi Loa Classic,Xiaomi,Loa,2416000,25,San pham chat luong cao,0
P-00150,Razer Op Lung Mini,Razer,Op Lung,1114000,107,San pham chat luong cao,0
P-00151,Sony Ban Phim Plus,Sony,Ban Phim,871000,375,San pham chat luong cao,0
P-00152,HP May Anh Premium,HP,May Anh,3517000,236,San pham chat luong cao,0
P-00153,Razer Dong Ho Ultra,Razer,Dong Ho,2621000,153,San pham chat luong cao,0
P-00154,Samsung Giay V2,Samsung,Giay,4797000,243,San pham chat luong cao,0
P-00155,Xiaomi Dong Ho Premium,Xiaomi,Dong Ho,1692000,109,San pham chat luong cao,0
P-00156,Samsung Cap Sac Sport,Samsung,Cap Sac,1505000,329,San pham chat luong cao,0
P-00157,JBL Chuot Gaming Lite,JBL,Chuot Gaming,4359000,372,San pham chat luong cao,0
P-00158,Sony Tablet Plus,Sony,Tablet,4915000,309,San pham chat luong cao,0
P-00159,HP Webcam Ultra,HP,Webcam,1159000,330,San pham chat luong cao,0
P-00160,Sony Dong Ho V2,Sony,Dong Ho,343000,399,San pham chat luong cao,0
P-00161,Razer Sac Du Phong Classic,Razer,Sac Du Phong,2144000,82,San pham chat luong cao,0
P-00162,Samsung Dong Ho Classic,Samsung,Dong Ho,4354000,93,San pham chat luong cao,0
P-00163,Anker Loa Pro Max,Anker,Loa,4280000,355,San pham chat luong cao,0
P-00164,HP May Anh Sport,HP,May Anh,2243000,44,San pham chat luong cao,0
P-00165,Logitech Chuot Gaming Premium,Logitech,Chuot Gaming,2047000,55,San pham chat luong cao,0
P-00166,Anker Dong Ho Premium,Anker,Dong Ho,895000,68,San pham chat luong cao,0
P-00167,Samsung Tablet Plus,Samsung,Tablet,2206000,319,San pham chat luong cao,0
P-00168,Anker Laptop Pro Max,Anker,Laptop,4057000,296,San pham chat luong cao,0
P-00169,Sony Ban Phim XL,Sony,Ban Phim,3233000,28,San pham chat luong cao,0
P-00170,Razer Ong Nhom Mini,Razer,Ong Nhom,96000,73,San pham chat luong cao,0
P-00171,Apple Chuot Gaming Pro Max,Apple,Chuot Gaming,3883000,280,San pham chat luong cao,0
P-00172,Apple Ao Thun V2,Apple,Ao Thun,899000,303,San pham chat luong cao,0
P-00173,HP Sac Du Phong XL,HP,Sac Du Phong,842000,481,San pham chat luong cao,0
P-00174,Asus Ao Thun Plus,Asus,Ao Thun,2109000,36,San pham chat luong cao,0
P-00175,Apple Dong Ho V2,Apple,Dong Ho,3155000,162,San pham chat luong cao,0
P-00176,JBL Balo XL,JBL,Balo,2086000,343,San pham chat luong cao,0
P-00177,Logitech Balo Lite,Logitech,Balo,2115000,151,San pham chat luong cao,0
P-00178,Samsung Dong Ho Lite,Samsung,Dong Ho,4093000,376,San pham chat luong cao,0
P-00179,Samsung Monitor Plus,Samsung,Monitor,1313000,236,San pham chat luong cao,0
P-00180,HP Tablet Sport,HP,Tablet,3713000,51,San pham chat luong cao,0
P-00181,Asus Kinh Mat Pro Max,Asus,Kinh Mat,4091000,299,San pham chat luong cao,0
P-00182,Logitech Sac Du Phong Sport,Logitech,Sac Du Phong,1192000,197,San pham chat luong cao,0
P-00183,Xiaomi Ban Phim Mini,Xiaomi,Ban Phim,4488000,47,San pham chat luong cao,0
P-00184,Asus Ong Nhom Lite,Asus,Ong Nhom,1453000,336,San pham chat luong cao,0
P-00185,Apple Cap Sac Sport,Apple,Cap Sac,503000,342,San pham chat luong cao,0
P-00186,Logitech Loa Pro Max,Logitech,Loa,691000,27,San pham chat luong cao,0
P-00187,HP Giay Sport,HP,Giay,3202000,330,San pham chat luong cao,0
P-00188,HP May Anh Mini,HP,May Anh,2312000,437,San pham chat luong cao,0
P-00189,Apple Sac Du Phong Premium,Apple,Sac Du Phong,4925000,180,San pham chat luong cao,0
P-00190,Razer Monitor Mini,Razer,Monitor,4310000,311,San pham chat luong cao,0
P-00191,Samsung Ao Thun Sport,Samsung,Ao Thun,4547000,350,San pham chat luong cao,0
P-00192,Samsung Ban Phim XL,Samsung,Ban Phim,4921000,429,San pham chat luong cao,0
P-00193,JBL Monitor Mini,JBL,Monitor,3642000,326,San pham chat luong cao,0
P-00194,Anker Chuot Gaming Classic,Anker,Chuot Gaming,4594000,450,San pham chat luong cao,0
P-00195,Logitech Chuot Gaming V2,Logitech,Chuot Gaming,2980000,355,San pham chat luong cao,0
P-00196,Logitech Chuot Gaming XL,Logitech,Chuot Gaming,311000,64,San pham chat luong cao,0
P-00197,JBL Monitor Pro Max,JBL,Monitor,1954000,381,San pham chat luong cao,0
P-00198,Razer Cap Sac Premium,Razer,Cap Sac,1910000,46,San pham chat luong cao,0
P-00199,Sony Quat Mini Pro Max,Sony,Quat Mini,1351000,14,San pham chat luong cao,0
P-00200,HP Dong Ho Lite,HP,Dong Ho,2619000,276,San pham chat luong cao,0
P-00201,Logitech Tablet Sport,Logitech,Tablet,657000,70,San pham chat luong cao,0
P-00202,Anker Sac Du Phong Plus,Anker,Sac Du Phong,4151000,437,San pham chat luong cao,0
P-00203,Logitech Dong Ho Lite,Logitech,Dong Ho,4817000,237,San pham chat luong cao,0
P-00204,Asus Tablet Classic,Asus,Tablet,1989000,54,San pham chat luong cao,0
P-00205,Logitech Monitor Lite,Logitech,Monitor,3700000,99,San pham chat luong cao,0
P-00206,Samsung Balo Sport,Samsung,Balo,1905000,14,San pham chat luong cao,0
P-00207,HP Op Lung Ultra,HP,Op Lung,2961000,63,San pham chat luong cao,0
P-00208,Logitech Tablet Ultra,Logitech,Tablet,2809000,263,San pham chat luong cao,0
P-00209,Anker Loa XL,Anker,Loa,2988000,42,San pham chat luong cao,0
P-00210,Samsung Op Lung Plus,Samsung,Op Lung,1258000,75,San pham chat luong cao,0
P-00211,Anker Quat Mini XL,Anker,Quat Mini,4774000,491,San pham chat luong cao,0
P-00212,Apple Ban Phim Mini,Apple,Ban Phim,4528000,369,San pham chat luong cao,0
P-00213,Sony Kinh Mat Mini,Sony,Kinh Mat,4717000,475,San pham chat luong cao,0
P-00214,Xiaomi Laptop Pro Max,Xiaomi,Laptop,379000,293,San pham chat luong cao,0
P-00215,Sony Ban Phim Lite,Sony,Ban Phim,4632000,310,San pham chat luong cao,0
P-00216,Xiaomi Giay Pro Max,Xiaomi,Giay,4007000,258,San pham chat luong cao,0
P-00217,Samsung Sac Du Phong Plus,Samsung,Sac Du Phong,4724000,45,San pham chat luong cao,0
P-00218,Sony Monitor Ultra,Sony,Monitor,1801000,66,San pham chat luong cao,0
P-00219,Sony Loa Sport,Sony,Loa,1258000,37,San pham chat luong cao,0
P-00220,Asus Tablet Pro Max,Asus,Tablet,3742000,95,San pham chat luong cao,0
P-00221,Logitech Tablet V2,Logitech,Tablet,2804000,232,San pham chat luong cao,0
P-00222,JBL USB Hub Sport,JBL,USB Hub,2338000,114,San pham chat luong cao,0
P-00223,Anker Giay XL,Anker,Giay,216000,105,San pham chat luong cao,0
P-00224,JBL Webcam Pro Max,JBL,Webcam,4603000,221,San pham chat luong cao,0
P-00225,JBL Dong Ho Premium,JBL,Dong Ho,1607000,38,San pham chat luong cao,0
P-00226,Samsung Ban Phim Lite,Samsung,Ban Phim,3928000,101,San pham chat luong cao,0
P-00227,Razer Webcam Plus,Razer,Webcam,2581000,344,San pham chat luong cao,0
P-00228,Asus Op Lung V2,Asus,Op Lung,4243000,72,San pham chat luong cao,0
P-00229,JBL Ao Thun Premium,JBL,Ao Thun,3603000,145,San pham chat luong cao,0
P-00230,Logitech Laptop Pro Max,Logitech,Laptop,4882000,282,San pham chat luong cao,0
P-00231,Apple Giay XL,Apple,Giay,3398000,57,San pham chat luong cao,0
P-00232,HP Kinh Mat XL,HP,Kinh Mat,2857000,492,San pham chat luong cao,0
P-00233,Anker Balo Ultra,Anker,Balo,1122000,224,San pham chat luong cao,0
P-00234,Razer Kinh Mat Premium,Razer,Kinh Mat,511000,482,San pham chat luong cao,0
P-00235,Asus Monitor V2,Asus,Monitor,2573000,436,San pham chat luong cao,0
P-00236,Asus Tai Nghe Pro Max,Asus,Tai Nghe,1918000,190,San pham chat luong cao,0
P-00237,Sony Webcam Plus,Sony,Webcam,4437000,321,San pham chat luong cao,0
P-00238,Logitech Cap Sac Plus,Logitech,Cap Sac,2299000,65,San pham chat luong cao,0
P-00239,Anker Op Lung Premium,Anker,Op Lung,1328000,159,San pham chat luong cao,0
P-00240,Sony Loa Mini,Sony,Loa,4774000,484,San pham chat luong cao,0
P-00241,Anker Tai Nghe Pro Max,Anker,Tai Nghe,2836000,44,San pham chat luong cao,0
P-00242,Xiaomi Ong Nhom Lite,Xiaomi,Ong Nhom,3473000,470,San pham chat luong cao,0
P-00243,HP Webcam Lite,HP,Webcam,3150000,25,San pham chat luong cao,0
P-00244,Asus Sac Du Phong Ultra,Asus,Sac Du Phong,4757000,467,San pham chat luong cao,0
P-00245,Samsung Ao Thun Ultra,Samsung,Ao Thun,3577000,324,San pham chat luong cao,0
P-00246,Xiaomi Tai Nghe Classic,Xiaomi,Tai Nghe,4442000,357,San pham chat luong cao,0
P-00247,HP USB Hub Pro Max,HP,USB Hub,2231000,241,San pham chat luong cao,0
P-00248,Xiaomi Loa Mini,Xiaomi,Loa,3570000,163,San pham chat luong cao,0
P-00249,Apple Dong Ho Premium,Apple,Dong Ho,4414000,352,San pham chat luong cao,0
P-00250,Anker Cap Sac V2,Anker,Cap Sac,4535000,435,San pham chat luong cao,0
P-00251,Samsung Tablet Sport,Samsung,Tablet,4954000,99,San pham chat luong cao,0
P-00252,Logitech Ban Phim Mini,Logitech,Ban Phim,3102000,300,San pham chat luong cao,0
P-00253,Razer Loa Classic,Razer,Loa,4894000,146,San pham chat luong cao,0
P-00254,Samsung May Anh Pro Max,Samsung,May Anh,2044000,288,San pham chat luong cao,0
P-00255,HP Tai Nghe Premium,HP,Tai Nghe,1719000,302,San pham chat luong cao,0
P-00256,Sony Dong Ho Lite,Sony,Dong Ho,474000,349,San pham chat luong cao,0
P-00257,Sony Quat Mini Pro Max,Sony,Quat Mini,710000,112,San pham chat luong cao,0
P-00258,Anker Dong Ho Premium,Anker,Dong Ho,1513000,379,San pham chat luong cao,0
P-00259,Asus USB Hub V2,Asus,USB Hub,1729000,269,San pham chat luong cao,0
P-00260,Logitech Balo Premium,Logitech,Balo,4320000,44,San pham chat luong cao,0
P-00261,Anker Laptop Classic,Anker,Laptop,1662000,321,San pham chat luong cao,0
P-00262,Sony Ao Thun Sport,Sony,Ao Thun,4863000,302,San pham chat luong cao,0
P-00263,Asus Tai Nghe Mini,Asus,Tai Nghe,2749000,207,San pham chat luong cao,0
P-00264,Logitech Cap Sac V2,Logitech,Cap Sac,350000,330,San pham chat luong cao,0
P-00265,Anker Tablet Lite,Anker,Tablet,3339000,46,San pham chat luong cao,0
P-00266,Asus Monitor Lite,Asus,Monitor,2449000,161,San pham chat luong cao,0
P-00267,Logitech Quat Mini Sport,Logitech,Quat Mini,3932000,346,San pham chat luong cao,0
P-00268,Xiaomi Ban Phim Sport,Xiaomi,Ban Phim,3611000,110,San pham chat luong cao,0
P-00269,Apple Loa Plus,Apple,Loa,1560000,321,San pham chat luong cao,0
P-00270,Asus Loa Ultra,Asus,Loa,415000,419,San pham chat luong cao,0
P-00271,Sony May Anh Lite,Sony,May Anh,644000,179,San pham chat luong cao,0
P-00272,JBL May Anh Premium,JBL,May Anh,3960000,410,San pham chat luong cao,0
P-00273,HP Quat Mini Pro Max,HP,Quat Mini,845000,455,San pham chat luong cao,0
P-00274,Anker Laptop V2,Anker,Laptop,149000,15,San pham chat luong cao,0
P-00275,Razer May Anh Mini,Razer,May Anh,758000,493,San pham chat luong cao,0
P-00276,Anker Op Lung Premium,Anker,Op Lung,2757000,499,San pham chat luong cao,0
P-00277,Anker Webcam Sport,Anker,Webcam,1529000,374,San pham chat luong cao,0
P-00278,Sony Laptop Mini,Sony,Laptop,2986000,328,San pham chat luong cao,0
P-00279,JBL Balo Pro Max,JBL,Balo,325000,486,San pham chat luong cao,0
P-00280,Asus Loa XL,Asus,Loa,62000,337,San pham chat luong cao,0
P-00281,Anker Loa Plus,Anker,Loa,2822000,217,San pham chat luong cao,0
P-00282,Asus Chuot Gaming Plus,Asus,Chuot Gaming,854000,211,San pham chat luong cao,0
P-00283,HP Sac Du Phong Ultra,HP,Sac Du Phong,4003000,416,San pham chat luong cao,0
P-00284,Sony Monitor Premium,Sony,Monitor,4018000,143,San pham chat luong cao,0
P-00285,Samsung Op Lung Mini,Samsung,Op Lung,524000,494,San pham chat luong cao,0
P-00286,Anker Quat Mini Premium,Anker,Quat Mini,1037000,242,San pham chat luong cao,0
P-00287,Sony Ong Nhom Premium,Sony,Ong Nhom,1120000,107,San pham chat luong cao,0
P-00288,Sony Monitor V2,Sony,Monitor,262000,255,San pham chat luong cao,0
P-00289,Logitech USB Hub Plus,Logitech,USB Hub,3336000,471,San pham chat luong cao,0
P-00290,Asus Giay V2,Asus,Giay,140000,190,San pham chat luong cao,0
P-00291,Samsung USB Hub Lite,Samsung,USB Hub,1040000,432,San pham chat luong cao,0
P-00292,Razer Cap Sac Classic,Razer,Cap Sac,438000,296,San pham chat luong cao,0
P-00293,Sony May Anh XL,Sony,May Anh,2876000,349,San pham chat luong cao,0
P-00294,JBL Balo Premium,JBL,Balo,1718000,456,San pham chat luong cao,0
P-00295,Logitech Laptop Lite,Logitech,Laptop,2128000,277,San pham chat luong cao,0
P-00296,Anker May Anh Mini,Anker,May Anh,2784000,206,San pham chat luong cao,0
P-00297,JBL Balo Pro Max,JBL,Balo,1533000,280,San pham chat luong cao,0
P-00298,Samsung Quat Mini Plus,Samsung,Quat Mini,215000,316,San pham chat luong cao,0
P-00299,Sony Ao Thun Pro Max,Sony,Ao Thun,2460000,451,San pham chat luong cao,0
P-00300,HP Kinh Mat Pro Max,HP,Kinh Mat,4788000,492,San pham chat luong cao,0
P-00301,Xiaomi Ban Phim Pro Max,Xiaomi,Ban Phim,4412000,477,San pham chat luong cao,0
P-00302,Xiaomi May Anh Pro Max,Xiaomi,May Anh,4498000,11,San pham chat luong cao,0
P-00303,Apple USB Hub Premium,Apple,USB Hub,2283000,279,San pham chat luong cao,0
